proposal,skill,mapper_payload
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,design,"[['B.5.1', 'D.2.10'], ['Design', 'Arithmetic and logic units', 'Control design', 'Data-path design', 'Memory design', 'Styles (e.g., parallel, pipeline, special-purpose)', 'Design** (D.2.2)', 'Methodologies**', 'Representation**'], ['design', 'arithmetic logic unit', 'control design', 'datapath design', 'memory design', 'style eg parallel pipeline specialpurpose', 'design', 'methodology', 'representation']]"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,modeling,"[['I.3.5'], ['Computational Geometry and Object Modeling', 'Boundary representations', 'Constructive solid geometry (CSG)**', 'Curve, surface, solid, and object representations', 'Geometric algorithms, languages, and systems', 'Hierarchy and geometric transformations', 'Modeling packages', 'Object hierarchies', 'Physically based modeling', 'Splines'], ['computational geometry object modeling', 'boundary representation', 'constructive solid geometry csg', 'curve surface solid object representation', 'geometric algorithm language system', 'hierarchy geometric transformation', 'modeling package', 'object hierarchy', 'physically based modeling', 'spline']]"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,software,"[['D'], [], []]"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,aspect,"[['J.2'], ['PHYSICAL SCIENCES AND ENGINEERING', 'Aerospace', 'Archaeology (NEW)', 'Astronomy', 'Chemistry', 'Earth and atmospheric sciences', 'Electronics', 'Engineering', 'Mathematics and statistics', 'Physics'], ['physical science engineering', 'aerospace', 'archaeology new', 'astronomy', 'chemistry', 'earth atmospheric science', 'electronics', 'engineering', 'mathematics statistic', 'physic']]"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,efficiency,"[['H.3.4'], ['Systems and Software', 'Current awareness systems (selective dissemination of information--SDI)**', 'Distributed systems (NEW)', 'Information networks', 'Performance evaluation (efficiency and effectiveness) (NEW)', 'Question-answering (fact retrieval) systems**', 'User profiles and alert services (NEW)'], ['system software', 'current awareness system selective dissemination informationsdi', 'distributed system new', 'information network', 'performance evaluation efficiency effectiveness new', 'questionanswering fact retrieval system', 'user profile alert service new']]"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,input,"[['D.3.3', 'D.4.4'], ['Language Constructs and Features (E.2)', 'Abstract data types', 'Classes and objects (NEW)', 'Concurrent programming structures', 'Constraints (NEW)', 'Control structures', 'Coroutines', 'Data types and structures', 'Dynamic storage management', 'Frameworks (NEW)', 'Inheritance (NEW)', 'Input/output', 'Modules, packages', 'Patterns (NEW)', 'Polymorphism (NEW)', 'Procedures, functions, and subroutines', 'Recursion', 'Communications Management (C.2)', 'Buffering', 'Input/output', 'Message sending', 'Network communication', 'Terminal management**'], ['language construct feature', 'abstract data type', 'class object new', 'concurrent programming structure', 'constraint new', 'control structure', 'coroutines', 'data type structure', 'dynamic storage management', 'framework new', 'inheritance new', 'inputoutput', 'module package', 'pattern new', 'polymorphism new', 'procedure function subroutine', 'recursion', 'communication management', 'buffering', 'inputoutput', 'message sending', 'network communication', 'terminal management']]"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,land,"[['H.2.3', 'D.2.1', 'I.7.1', 'I.3.6'], ['Languages (D.3.2)', 'Data description languages (DDL)', 'Data manipulation languages (DML)', 'Database (persistent) programming languages', 'Query languages', 'Report writers', 'Requirements/Specifications (D.3.1)', 'Elicitation methods (e.g., rapid prototyping, interviews, JAD) (NEW)', 'Languages', 'Methodologies (e.g., object-oriented, structured) (REVISED)', 'Tools', 'Document and Text Editing (REVISED)', 'Document management (NEW)', 'Languages**', 'Spelling**', 'Version control (NEW)', 'Methodology and Techniques', 'Device independence**', 'Ergonomics', 'Graphics data structures and data types', 'Interaction techniques', 'Languages', 'Standards'], ['language', 'data description language ddl', 'data manipulation language dml', 'database persistent programming language', 'query language', 'report writer', 'requirementsspecifications', 'elicitation method eg rapid prototyping interview jad new', 'language', 'methodology eg objectoriented structured revised', 'tool', 'document text editing revised', 'document management new', 'language', 'spelling', 'version control new', 'methodology technique', 'device independence', 'ergonomics', 'graphic data structure data type', 'interaction technique', 'language', 'standard']]"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,material,"[['G.1.3'], ['Numerical Linear Algebra', 'Conditioning', 'Determinants**', 'Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', 'Error analysis', 'Linear systems (direct and iterative methods)', 'Matrix inversion', 'Pseudoinverses**', 'Singular value decomposition (NEW)', 'Sparse, structured, and very large systems (direct and iterative methods) (REVISED)'], ['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']]"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,sea,"[['F.2.2'], ['Nonnumerical Algorithms and Problems (E.2-5, G.2, H.2-3)', 'Complexity of proof procedures', 'Computations on discrete structures', 'Geometrical problems and computations', 'Pattern matching', 'Routing and layout', 'Sequencing and scheduling', 'Sorting and searching'], ['nonnumerical algorithm problem', 'complexity proof procedure', 'computation discrete structure', 'geometrical problem computation', 'pattern matching', 'routing layout', 'sequencing scheduling', 'sorting searching']]"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,waste,"[['G.1.2'], ['Approximation', 'Approximation of surfaces and contours (NEW)', 'Chebyshev approximation and theory', 'Elementary function approximation', 'Fast Fourier transforms (FFT) (NEW)', 'Least squares approximation', 'Linear approximation', 'Minimax approximation and algorithms', 'Nonlinear approximation', 'Rational approximation', 'Special function approximations (NEW)', 'Spline and piecewise polynomial approximation', 'Wavelets and fractals (NEW)'], ['approximation', 'approximation surface contour new', 'chebyshev approximation theory', 'elementary function approximation', 'fast fourier transforms fft new', 'least square approximation', 'linear approximation', 'minimax approximation algorithm', 'nonlinear approximation', 'rational approximation', 'special function approximation new', 'spline piecewise polynomial approximation', 'wavelet fractal new']]"
v0_006_call_for_proposals_under_india_republic_of_korea_joint_programme_of_cooperation,engineering,"[['J.2'], ['PHYSICAL SCIENCES AND ENGINEERING', 'Aerospace', 'Archaeology (NEW)', 'Astronomy', 'Chemistry', 'Earth and atmospheric sciences', 'Electronics', 'Engineering', 'Mathematics and statistics', 'Physics'], ['physical science engineering', 'aerospace', 'archaeology new', 'astronomy', 'chemistry', 'earth atmospheric science', 'electronics', 'engineering', 'mathematics statistic', 'physic']]"
v0_007_india___korea_joint_network_centre___call_for_proposals___last_date___august_16_2017,engineering,"[['J.2'], ['PHYSICAL SCIENCES AND ENGINEERING', 'Aerospace', 'Archaeology (NEW)', 'Astronomy', 'Chemistry', 'Earth and atmospheric sciences', 'Electronics', 'Engineering', 'Mathematics and statistics', 'Physics'], ['physical science engineering', 'aerospace', 'archaeology new', 'astronomy', 'chemistry', 'earth atmospheric science', 'electronics', 'engineering', 'mathematics statistic', 'physic']]"
v0_007_india___korea_joint_network_centre___call_for_proposals___last_date___august_16_2017,material,"[['G.1.3'], ['Numerical Linear Algebra', 'Conditioning', 'Determinants**', 'Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', 'Error analysis', 'Linear systems (direct and iterative methods)', 'Matrix inversion', 'Pseudoinverses**', 'Singular value decomposition (NEW)', 'Sparse, structured, and very large systems (direct and iterative methods) (REVISED)'], ['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']]"
v0_008_bhaskara_advanced_solar_energy_base_fellowship__2017,general,"[['C.5.0', 'B.7.0', 'I.1.0', 'D.4.0', 'F.0', 'K.8.0', 'C.2.0', 'D.2.0', 'I.5.0', 'F.1.0', 'A.0', 'D.0', 'I.4.0', 'C.0', 'H.4.0', 'B.6.0', 'G.1.0', 'K.6.0', 'B.2.0', 'I.2.0', 'B.4.0', 'D.1.0', 'B.1.0', 'K.5.0', 'K.7.0', 'B.3.0', 'I.0', 'F.2.0', 'C.1.0', 'K.0', 'I.6.0', 'H.2.0', 'F.3.0', 'K.4.0', 'I.3.0', 'G.2.0', 'B.5.0', 'H.5.0', 'F.4.0', 'I.7.0', 'G.0', 'J.0', 'H.3.0', 'B.0', 'E.0', 'H.0', 'H.1.0', 'D.3.0', 'K.3.0'], ['General', 'General', 'General', 'General', 'GENERAL', 'General', 'Games', 'General', 'Data communications', 'Open Systems Interconnection reference model (OSI)', 'Security and protection (e.g., firewalls) (REVISED)', 'General (K.5.1)', 'Protection mechanisms', 'Standards', 'General', 'General', 'GENERAL', 'Biographies/autobiographies', 'Conference proceedings', 'General literary works (e.g., fiction, plays)', 'GENERAL', 'General', 'Image displays', 'Image processing software', 'GENERAL', 'Hardware/software interfaces', 'Instruction set design (e.g., RISC, CISC, VLIW) (REVISED)', 'Modeling of computer architecture (NEW)', 'System architectures', 'Systems specification methodology', 'General', 'General', 'General', 'Computer arithmetic', 'Conditioning (and ill-conditioning) (REVISED)', 'Error analysis', 'Interval arithmetic (NEW)', 'Multiple precision arithmetic (NEW)', 'Numerical algorithms', 'Parallel algorithms', 'Stability (and instability)', 'General', 'Economics', 'General', 'General', 'Cognitive simulation', 'Philosophical foundations', 'General', 'General', 'General', 'General', 'General', 'General', 'GENERAL', 'General', 'General', 'GENERAL', 'General', 'General', 'Security, integrity, and protection**', 'General', 'General', 'General', 'General', 'General', 'General', 'General', 'General', 'GENERAL', 'GENERAL', 'General', 'GENERAL', 'GENERAL', 'GENERAL', 'General', 'General', 'Standards', 'General'], ['general', 'general', 'general', 'general', 'general', 'general', 'game', 'general', 'data communication', 'open system interconnection reference model osi', 'security protection eg firewall revised', 'general', 'protection mechanism', 'standard', 'general', 'general', 'general', 'biographiesautobiographies', 'conference proceeding', 'general literary work eg fiction play', 'general', 'general', 'image display', 'image processing software', 'general', 'hardwaresoftware interface', 'instruction set design eg risc cisc vliw revised', 'modeling computer architecture new', 'system architecture', 'system specification methodology', 'general', 'general', 'general', 'computer arithmetic', 'conditioning illconditioning revised', 'error analysis', 'interval arithmetic new', 'multiple precision arithmetic new', 'numerical algorithm', 'parallel algorithm', 'stability instability', 'general', 'economics', 'general', 'general', 'cognitive simulation', 'philosophical foundation', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'security integrity protection', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'standard', 'general']]"
v0_009_building_energy_efficiency_higher_and_advanced_network_bhavan_fellowships__2017,building,"[['B.5.3', 'B.4.5', 'B.6.2', 'B.7.3'], ['Reliability and Testing** (B.8)', 'Built-in tests**', 'Error-checking**', 'Redundant design**', 'Test generation**', 'Testability**', 'Reliability, Testing, and Fault-Tolerance** (B.8)', 'Built-in tests**', 'Diagnostics**', 'Error-checking**', 'Hardware reliability**', 'Redundant design**', 'Test generation**', 'Reliability and Testing** (B.8)', 'Built-in tests**', 'Error-checking**', 'Redundant design**', 'Test generation**', 'Testability**', 'Reliability and Testing** (B.8)', 'Built-in tests**', 'Error-checking**', 'Redundant design**', 'Test generation**', 'Testability**'], ['reliability testing', 'builtin test', 'errorchecking', 'redundant design', 'test generation', 'testability', 'reliability testing faulttolerance', 'builtin test', 'diagnostics', 'errorchecking', 'hardware reliability', 'redundant design', 'test generation', 'reliability testing', 'builtin test', 'errorchecking', 'redundant design', 'test generation', 'testability', 'reliability testing', 'builtin test', 'errorchecking', 'redundant design', 'test generation', 'testability']]"
v0_009_building_energy_efficiency_higher_and_advanced_network_bhavan_fellowships__2017,efficiency,"[['H.3.4'], ['Systems and Software', 'Current awareness systems (selective dissemination of information--SDI)**', 'Distributed systems (NEW)', 'Information networks', 'Performance evaluation (efficiency and effectiveness) (NEW)', 'Question-answering (fact retrieval) systems**', 'User profiles and alert services (NEW)'], ['system software', 'current awareness system selective dissemination informationsdi', 'distributed system new', 'information network', 'performance evaluation efficiency effectiveness new', 'questionanswering fact retrieval system', 'user profile alert service new']]"
v0_010_dst___rcn_norway_joint_call_on_ict_2017,environment,"[['I.6.7'], ['Simulation Support Systems', 'Environments'], ['simulation support system', 'environment']]"
v0_011_call___india_japan_cooperative_science_programme_ijcsp,engineering,"[['J.2'], ['PHYSICAL SCIENCES AND ENGINEERING', 'Aerospace', 'Archaeology (NEW)', 'Astronomy', 'Chemistry', 'Earth and atmospheric sciences', 'Electronics', 'Engineering', 'Mathematics and statistics', 'Physics'], ['physical science engineering', 'aerospace', 'archaeology new', 'astronomy', 'chemistry', 'earth atmospheric science', 'electronics', 'engineering', 'mathematics statistic', 'physic']]"
v0_011_call___india_japan_cooperative_science_programme_ijcsp,fundamental,"[['D.3.3'], ['Language Constructs and Features (E.2)', 'Abstract data types', 'Classes and objects (NEW)', 'Concurrent programming structures', 'Constraints (NEW)', 'Control structures', 'Coroutines', 'Data types and structures', 'Dynamic storage management', 'Frameworks (NEW)', 'Inheritance (NEW)', 'Input/output', 'Modules, packages', 'Patterns (NEW)', 'Polymorphism (NEW)', 'Procedures, functions, and subroutines', 'Recursion'], ['language construct feature', 'abstract data type', 'class object new', 'concurrent programming structure', 'constraint new', 'control structure', 'coroutines', 'data type structure', 'dynamic storage management', 'framework new', 'inheritance new', 'inputoutput', 'module package', 'pattern new', 'polymorphism new', 'procedure function subroutine', 'recursion']]"
v0_011_call___india_japan_cooperative_science_programme_ijcsp,global warming,"[['G.1.6'], ['Optimization', 'Constrained optimization', 'Convex programming (NEW)', 'Global optimization (NEW)', 'Gradient methods', 'Integer programming', 'Least squares methods', 'Linear programming', 'Nonlinear programming', 'Quadratic programming methods (NEW)', 'Simulated annealing (NEW)', 'Stochastic programming (NEW)', 'Unconstrained optimization (NEW)'], ['optimization', 'constrained optimization', 'convex programming new', 'global optimization new', 'gradient method', 'integer programming', 'least square method', 'linear programming', 'nonlinear programming', 'quadratic programming method new', 'simulated annealing new', 'stochastic programming new', 'unconstrained optimization new']]"
v0_011_call___india_japan_cooperative_science_programme_ijcsp,material,"[['G.1.3'], ['Numerical Linear Algebra', 'Conditioning', 'Determinants**', 'Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', 'Error analysis', 'Linear systems (direct and iterative methods)', 'Matrix inversion', 'Pseudoinverses**', 'Singular value decomposition (NEW)', 'Sparse, structured, and very large systems (direct and iterative methods) (REVISED)'], ['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']]"
v0_011_call___india_japan_cooperative_science_programme_ijcsp,polymer,"[['D.3.3'], ['Language Constructs and Features (E.2)', 'Abstract data types', 'Classes and objects (NEW)', 'Concurrent programming structures', 'Constraints (NEW)', 'Control structures', 'Coroutines', 'Data types and structures', 'Dynamic storage management', 'Frameworks (NEW)', 'Inheritance (NEW)', 'Input/output', 'Modules, packages', 'Patterns (NEW)', 'Polymorphism (NEW)', 'Procedures, functions, and subroutines', 'Recursion'], ['language construct feature', 'abstract data type', 'class object new', 'concurrent programming structure', 'constraint new', 'control structure', 'coroutines', 'data type structure', 'dynamic storage management', 'framework new', 'inheritance new', 'inputoutput', 'module package', 'pattern new', 'polymorphism new', 'procedure function subroutine', 'recursion']]"
v0_011_call___india_japan_cooperative_science_programme_ijcsp,synthesis,"[['D.3.1'], ['Formal Definitions and Theory (D.2.1, F.3.1-2, F.4.2-3)', 'Semantics', 'Syntax'], ['formal definition theory', 'semantics', 'syntax']]"
v0_012_national_award_for_women_development_through_application_of_science__technology,design,"[['B.5.1', 'D.2.10'], ['Design', 'Arithmetic and logic units', 'Control design', 'Data-path design', 'Memory design', 'Styles (e.g., parallel, pipeline, special-purpose)', 'Design** (D.2.2)', 'Methodologies**', 'Representation**'], ['design', 'arithmetic logic unit', 'control design', 'datapath design', 'memory design', 'style eg parallel pipeline specialpurpose', 'design', 'methodology', 'representation']]"
v0_012_national_award_for_women_development_through_application_of_science__technology,woman,"[['D.4.6', 'K.6.5'], ['Security and Protection (K.6.5)', 'Access controls', 'Authentication', 'Cryptographic controls', 'Information flow controls', 'Invasive software (e.g., viruses, worms, Trojan horses)', 'Security kernels**', 'Verification**', 'Security and Protection (D.4.6, K.4.2)', 'Authentication', 'Insurance**', 'Invasive software (e.g., viruses, worms, Trojan horses)', 'Physical security**', 'Unauthorized access (e.g., hacking, phreaking) (NEW)'], ['security protection', 'access control', 'authentication', 'cryptographic control', 'information flow control', 'invasive software eg virus worm trojan horse', 'security kernel', 'verification', 'security protection', 'authentication', 'insurance', 'invasive software eg virus worm trojan horse', 'physical security', 'unauthorized access eg hacking phreaking new']]"
