researcher_name,skills
Smriti Saraswat,"banal architecture, chair, decade, dwivedi, economic policy, great consumer, guidance, image, indigenous reality, interior architect, koti banal, koti banal architecture, liberalized economic, liberalized economic policy, lopsided growth, nagaria, nishath salma, reflection, sanskrit word, surname, tall building, vidya dahejia, vishal, woman"
Sonal Atreya,"bachelor, biomedical engineering, combination, intelligent, joint tech, kusum, master, public space, rediscovery, senate, significance"
Tina Pujara,"anopheline mosquito, asia, bicycle safety, compan recerq, cristians pel, cristians pel socialisme, cytological morphological, cytological morphological technique, feedback evaluation, generation cycle, grow cardiacum, important part, jordi lpez, large populous, large populous continent, lpez camp, model, morphological technique, open space, pel socialisme, pleasant social, pleasant social relationship, population, populous continent, principal concern, public open, public open space, quan jordi, quan jordi lpez camp, safe sustainable, safe sustainable accommodation, sense, social group, social relationship, sustainable accommodation, synchronously grow, synchronously grow cardiacum, taxonomy, ultraviolet radiosensitivity"
Uttam Kumar Roy,"adsorption behavior, band position, bandgap alignment, bipolar plate, building material, characterization facility, common building, common building material, computational drug, computational drug design, constantinos antoniou, conventional deadline, corba, critical feature, drug design, electrical conductivity, elemental sulfur, emmanouil chaniotakis, housing market, intelligent technique, late advance, latency quality, low latency, proper drug, proper drug design, rental housing, rural, scalable low, scalable low latency quality, stainless steel, sulfurrich copolymer, traditional building, vibrant housing, vibrant housing market, waste"
V Devadas,"ali ali, ali ali raclise feat ore oif iisiiig lliiaptaijrili, ali raclise, aspect, case, corporation, distinguished climate, dynamic technique, economic upsurge, feat ore, iisiiig lliiaptaijrili, increase population, migration economic, oif iisiiig, ore oif, pillai, raclise feat, rapid pace, rapid urbanization, rapid vehicular, rapid vehicular growth, suggestion, supervision, survey, theory, urban climate, urban migration, urban migration economic upsurge, vehicular growth, waste quantity"
Jaydev Dabas,"abstract fractional, abstract fractional functional integro differential equation, approximate controllability, approximate controllability problem, boundary value, class, continuous dependence, controllability problem, differential equation, evolution equation, existence, existence uniqueness, fractional evolution, fractional evolution equation, fractional functional, fractional impulsive, fractional impulsive differential equation, fractional integral, fractional order, framework, functional differential, functional integro, impulsive differential, impulsive differential equation, impulsive fractional, impulsive fractional integral boundary value problem, impulsive fractional order semilinear evolution equation, impulsive functional, integral boundary, integro differential, investigation, jay, order, order semilinear, semilinear evolution, semilinear impulsive, semilinear impulsive functional differential, solution, value problem"
Millie Pant,"algorithm nsga, applied, artificial bee, artificial bee colony, bee colony, chain management, educational supply, efficiency, extensive, global optimization, global optimization problem, hybrid phase, hybrid phase global optimization algorithm, improved version, multi optimization, new variant, nineteen academic, novlty, optimization algorithm, optimization problem, particle swarm, particle swarm optimization, phase global, popular multi, popular multi optimization algorithm nsga, sector educational, sector educational supply chain management, supply chain, supply chain management, swarm optimization, variant"
Rajan Arora,"acoustic theory, amplitude frequency, amplitude wave, analysis method, analytic solution, approximate analytic, approximate analytic solution, approximate solution, asymptotic solution, basic equation, differential transform, equal width, evolution equation, exact solitary, exact solitary wave solution, exact solution, far behaviour, frequency asymptotic, geometrical acoustic, homotopy analysis, homotopy analysis method, iteration method, linear geometrical, modified equal, modified equal width wave equation, modify, non linear, numerical solution, reduced differential, reduced differential transform method, senior undergraduate, shock wave, shock wave propagation, small amplitude, small amplitude frequency asymptotic solution, small amplitude wave, solitary wave, transform method, variational iteration, variational iteration method, wave equation, wave propagation, wave solution, weakly non, weakly non linear geometrical acoustic theory, well approximate, well approximate solution, width wave"
Ashwani Kumar Sharma,"biotechnological, carcinogen, chitin metabolic, chitin metabolic pathway, computational facility, crystallographic unit, decolorize peroxidase, dye decolorize, dye decolorize peroxidase, endocrine disruptor, farnesol dehydrogenase, fibrinolytic activity, gaussian software, heme peroxidase, individual unit, kda serine, kda serine protease, key, latex, lucrative target, macromolecular crystallographic, macromolecular crystallographic unit, management regime, material, metabolic pathway, mhrd, oxidation reaction, peroxidase family, pest management, pest management regime, plasticizer, savita, serine protease, unique heme, unique heme peroxidase family"
Bijan Choudhury,"allahabad, azo dye, biodiesel manufacturing, biodiesel manufacturing industry, branched chain, chain fatty, china nishchal, china nishchal verma, cold flow, cold flow property, communication engineering, crude glycerol, direct guidance, electrical communication, electronics electrical, electronics electrical communication engineering, enrich branched, enrich branched chain fatty acid, fatty acid, flow property, fuli zhejiang, haloalkaliphilic bacterium, hypersaline environment, important product, industrially important, industrially important product, manufacturing industry, microbial remediation, nishchal verma, novel haloalkaliphilic, novel haloalkaliphilic bacterium, oxidation stability, sambhar lake, soil sample, sponsor, stress condition, trehalose biosynthesis, west bohemia"
Debabrata Sircar,"active coumarin, adventitious crown, artificial bone, artificial bone graft substitute, band operation, bear adventitious, biologically active, biologically active coumarin, bone graft, carcinogen, cell suspension, cell suspension culture, coconut product, coconut water, course variation, crown root, derive fibrous, dual band, dual band operation, economically important, economically important tropical palm fruit, endocrine disruptor, endosperm, extracellular matrix, fibrous root, graft substitute, graphene patch, graphene patch antenna, health protective, highly derive, highly derive fibrous root, hplc method, ideal scaffold, important quality, important tropical, medicinal plant, molecular mechanism, nutritional value, nutritional value health protective property, nutritionally important, nutritionally important quality attribute, palm fruit, patch antenna, plasticizer, presence, protective property, quality attribute, remarkable nutritional, remarkable nutritional value, reverse phase, ruta chalepensis, shoot bear, shoot bear adventitious crown root, simultaneous determination, suspension culture, time course, time course variation, tropical palm, value health"
Deepak Sharma,"anti inflammatory, antibacterial antioxidant, antibacterial antioxidant anti inflammatory property, antioxidant anti, atomic scale, atomic scale rearrangement, bilayere dermal, cardiac ischemia, chalcogenide material, change memory, condition, cytokine production, decrease, dermal patch, diastereoselective synthesis, domino reaction, electrical property, enantio diastereoselective, ferroelectric film, functionalize isochroman, graftversushost disease, highly enantio, highly enantio diastereoselective synthesis, highly functionalize, highly functionalize isochroman, hybrid layered, hybrid layered manufacturing, inflammatory property, inhibit growth, layered manufacturing, lead zirconate, memory pcm, metallic object, multifunctional bilayere, multifunctional bilayere dermal patch, nmr, organocatalyze domino, organocatalyze domino reaction, pcm cell, phase change, phase change memory, phase change memory pcm cell, rapid manufacturing, scale rearrangement, secure model, single crystal, structural relaxation, thin lead, thin lead zirconate titanate, titanium oxynitride, ultrathin titanium, ultrathin titanium oxynitride, zirconate titanate"
P Gopinath,"available medication, biological, carbon dot, catalytic cys, clinically orthopaedic, clinically orthopaedic implant material, conformational behavior, currently available, currently available medication, fluorescence property, fluorescent carbon, functionalize carbon, honey john, implant material, ineffective treatment, inorganic content, intriguing fluorescence, intriguing fluorescence property, lot, multi resistant, multi resistant organism, multicolour fluorescent, multicolour fluorescent carbon dot, multifunctional nanoscale, multifunctional nanoscale carrier, nanoscale carrier, nanoscale material, novel method, orcid logo, organic inorganic, organic inorganic content, orthopaedic implant, polyethylene glycol, pramod orcid, pramod orcid logo, prevalence, reji philip, replacement, resistant organism, rri bangalore, scan facility, surface functionalize, surface functionalize carbon dot, uday, waste biomass"
Harsh Chauhan,"central facility, charantia seed, cold room, distilled water, double distilled, double distilled water, drawback, edible crop, establish synthetic, establish synthetic route, large amount, long reaction, long reaction time, min, moisten blotting, momordica charantia, momordica charantia seed, nano facility, nutritional quality, polymer, reaction condition, reaction time, select cultivar, suitability, synthetic route, thermal degradation, twitter analytic"
Srinivas Kiran Ambatipudi,"lab, proteomic lab"
Krishna Mohan Poluri,"antifungal resistance, antimicrobial agent, bacterial biofilm, biofilm architecture, blood sample, carbon footprint, deteriorate, environmental pollution, fingerprinting technique, grow, healthy human, healthy human volunteer, human volunteer, magnetic resonance, metabolomic approach, microalgal lipid, nmrbase metabolomic, nmrbase metabolomic approach, nuclear magnetic, nuclear magnetic resonance, open overlay, open overlay panel shweta tripathi, overlay panel, panel shweta, petroleum fuel, promising alternative, rate, recent advance, recurrent antimicrobial, recurrent antimicrobial agent, resistance, shweta tripathi, throughput fingerprinting, throughput fingerprinting technique"
Maya S.Nair,"averrhoa bilimbi, bioactive molecule, ccis volume, computational facility, dravidian family, fruit leaf, fruit leaf extract, graduate, human serum, human serum albumin, image, interesting tribal, interesting tribal language, lab computational, lab computational facility, land, leaf extract, presence, refereed, senior academician, serum albumin, software, sparc, stilbene compound, summer internship, target release, technical, therapeutic, tribal language"
N K Navani,"assay, blood sample, chronic infection, conductance limitation, emergence, ethic consideration, glass slide, gram negative, haloalkaliphilic bacterium, human ethic, human ethic consideration, jeol microscope, lawn, mdr gram, mdr gram negative pathogen, nanoparticle, negative pathogen, novel haloalkaliphilic, novel haloalkaliphilic bacterium, novel technique, pond water, posdoctoral fellow, sambhar lake, sample, sewage water, shell nanoparticle, silver, silver core, soil sample, synthesis, technical staff, train technical, train technical staff, treat sewage, treat sewage water"
Partha Roy,"bionanocomposite, cellulose nanocrystal, computer, digital medium, electrical cue, evolution, immense, impaired people, intelligent transportation, isolated sign, isolated sign language recognition, language recognition, manual signa, multimodal framework, novel multimodal, novel multimodal framework, part, pratim, recommendation, sign language, visual surveillance"
Poonam Choudhary,"algae, algal biofilm, algal biofuel, anaerobic digestion, biofilm reactor, biomass, biomass production, continuous supply, coproduct generation, coproduct generation wastewater integration, cost effectiveness, detailed characterization, domestic grey, domestic grey water, drain, dump site, energy cost, engineering, establish energy, establish energy cost effectiveness, extensive detailed, extensive detailed characterization, facility, filamentous fungus, fungal isolate, generation wastewater, grey water, know fungal, know fungal isolate, limitation, livestock wastewater, microalgae consortium, native microalgae, native microalgae consortium, pilot scale, pilot scale algal biofilm reactor, scale algal, unknown filamentous, unknown filamentous fungus, wastewater integration"
Prabhat Kumar Mandal,"abstract analysis, agricultural, ally sector, canada swapan, canada swapan bhattacharya, coal mining, coal pillar, concern, declaration, electronic good, energy harvesting, ethical principle, excavation, experiment, failure mechanism, free halide, geological discontinuity, halide perovskite, immense popularity, inclined coal, inclined coal pillar, lead free, lead free halide perovskite, mahanti, new brunswick, percent, photovoltaic energy, photovoltaic energy harvesting, quality, rock mass, stratum control, swapan bhattacharya, underground coal, underground coal mining"
Pranita P Sarangi,"family gtpase, molecular switch, numerous cellular, rho family, rho family gtpase"
Pravindra Kumar,"alarming rate, anaerobic chamber, antibiotic resistance, aureus, bind protein, biotechnological, carcinogen, computational facility, decolorize peroxidase, dye decolorize, dye decolorize peroxidase, endocrine disruptor, farnesol dehydrogenase, gaussian software, heme peroxidase, immunocompromise patient, key, klebsiella pneumonia, mhrd, nosocomial infection, novel esterase, oxidation reaction, penicillin bind, penicillin bind protein, peroxidase family, plasticizer, quantum mechanic, removal, rise antibiotic, rise antibiotic resistance, smile, unique heme, unique heme peroxidase family, whitley"
Prince Tiwari,"ben brahim, bin fahd, brazil nikitasm, brazil nikitasm sgouros, british, cux, expression, fahd univ, ghassen ben, ghassen ben brahim, gneshu, guinier camera, healthy body, healthy mind, machine learning, mayo, mohammad bin, mohammad bin fahd univ, morale, nikitasm sgouros, noise annoyance, physiological psychological, physiological psychological strain, powder ray, powder ray diffraction, psychological strain, ray diffraction, real problem, safety policy, signal processing, site, sri vat, symposium, traffic safety, traffic safety policy, transportation planning, variety, vertical guinier, vertical guinier camera, virtual mode, volume"
R. P. Singh,"advanced turbulent, advanced turbulent drag reducing, aeronet reference, aeronet team, consistency check, corncob biochar, drag reducing, engineering course, flocculating material, food engineering, food engineering course, harish vishwakarma, housing mplnet, investigation, joint agreement, kanpur, sanjay dhande, sea, turbulent drag"
Ramasare Prasad,"acute respiratory, alternative treatment, alternative treatment strategy, biomass triacylglyceride, central facility, century, chitosan gold, coronavirus disease, critical input, envelop positive, envelop positive sense single strand rna virus, environment, equipment mumbai, financial assistantship, functionalize chitosan, fungal infection, gold nanoparticle, halotolerant characteristic, htl reactor, instrument, instrument facility, instrumentation facility, mittal, multitude, positive sense, quarter, respiratory syndrome, rna virus, schematic representation, sense single, severe acute, severe acute respiratory syndrome coronavirus, single strand, strand rna, sustainable biomass, sustainable biomass triacylglyceride tag production, sww, syndrome coronavirus, tag production, threat, toxicity, treatment strategy, triacylglyceride tag, typical htl, typical htl reactor, tyrosol functionalize, tyrosol functionalize chitosan gold nanoparticle, viable alternative"
Ranjana Pathania,"acinetobacter baumannii, antibacterial property, antibiotic resistance, antimicrobial resistance, approve drug, bacterial persister, bacterial strain, care setting, determinant, disproportionate use, drug disulfiram, drug resistance, drug resistant, drug tolerant, dwindle supply, efflux pump, emergence, fda approve, fda approve drug disulfiram, global health, global health problem, gram negative, gram negative nosocomial pathogen, health care, health care setting, health problem, inappropriate disproportionate, inappropriate disproportionate use, increase prevalence, lab, lead cause, multiple drug, multiple drug resistance, multiple drug resistant pathogen, negative nosocomial, noninheritable drug, noninheritable drug tolerant population, nosocomial pathogen, pseudomonas, resistant pathogen, rpt, soft tissue, soft tissue infection, staphylococcus aureus, tissue infection, tolerant population, valuable suggestion, vivo efficacy"
Sanjoy Ghosh,"abundantly available, abundantly available low cost pine needle, add product, aditi awasthi, alternative, available low, biochemical engineering, biochemical engineering lab, biofuel production, cda production, cellulolytic enzyme, chitin deacetylase, consequence, conventional fermentation, conventional fossil, conventional fossil fuel, cost pine, engineering lab, enzymatic treatment, fermentation condition, food industry, fossil fuel, generation biofuel, generation biofuel production, great concern, initial, lignocellulosic material, limitation, low cost, microalgal biomass, novel technique, pharmaceutical food, pharmaceutical food industry, pine needle, promising approach, renewable fuel, value add, value add product, vasundhara jain"
Saugata Hazra,"abundant wellbeing, acid oxidase, alternative renewable, angiotensin aldosterone, beta lactamase, beta lactamase inhibitor, biomass derive, biomass derive fermentable sugar, carbonic anhydrase, cell oil, central pathway, code region, damino acid, damino acid oxidase, derive fermentable, drug resistant, emergence, essential healthy, essential healthy nutritional component, ethanol fermentation, extensively drug, extensively drug resistant xdr tuberculosis, family, fermentable sugar, functional food, global health, hallmark, health concern, healthy nutritional, inhibitory, key therapeutic, key therapeutic target, lactamase inhibitor, lifecycle, marxianus, missense mutation, multidrug resistant, multidrug resistant mdr, nutritional component, recent emergence, renin angiotensin, renin angiotensin aldosterone, resistant mdr, resistant xdr, significant global, significant global health concern, single cell, single cell oil, therapeutic target, vibrio cholerae, xdr tuberculosis, yeast lipid"
Shailly Tomar,"bacterial pathogen, binuclear metalloenzyme, biotechnological, carcinogen, coronavirus disease, crystallographic unit, decolorize peroxidase, dye decolorize, dye decolorize peroxidase, endocrine disruptor, ester bond, gaussian software, heme peroxidase, hydrolytic activity, immunocompromise patient, klebsiella pneumonia, macromolecular crystallographic, macromolecular crystallographic unit, nosocomial infection, novel approach, novel hydrolytic, novel hydrolytic activity, pandemic, penicillin recognize, penicillin recognize protein, peroxidase family, plasticizer, prevalent cause, recognize protein, staphylococcus aureus, target, therapeutic intervention, therapeutic target, unique heme, unique heme peroxidase family, widespread bacterial, widespread bacterial pathogen"
Shri Ram Yadav,"adventitious crown, adventitious crown root, attention, beneficial medium, biox, coleoptile base, conserve regulator, crown root, dimensional tellurium, employing nanofluid, energy harvesting, energy harvesting device, fluid, harvesting device, image, initial standardization, input, interesting idea, layer multilayer, layer multilayer dimensional tellurium nanoflake, layer thickness, managing, mechanism underlie, multilayer dimensional, rice root, root architecture, senior padma, sreedharan, structural vibrational, structural vibrational property, tellurium nanoflake, vibrational property"
Soma Rohatgi,"albicans candida, albicans candida specie, alginate core, animal, animal facility, antibody immunity, balb mouse, candida specie, cell deficient, chikungunya virus, chitosan alginate, chitosan alginate core shell nanoparticle, core shell, cryptococcus neoformans, deficient mouse, definitive, diabetes mellitus, early neoformans, early neoformans dissemination, emergence, fungal infection, genus candida, global infectious, global infectious disease, health concern, igm cell, igm cell deficient mouse, increase, infection, infectious disease, invasive fungal, invasive fungal infection, lead cause, mosquito transmit, mosquito transmit alphaviru, neoformans dissemination, public health, public health concern, rifaximin, rise incidence, severe illness, shell nanoparticle, small animal, small animal facility, systemic candidiasis, transmit alphaviru"
Sachin Suresh Tiwari,"adoption, artificial intelligence, celebrity endorsement, construction worker, crude oil, dehardun goyal, deplete nonrenewable, deplete nonrenewable energy, dit, efficient teamwork, fog experiment, food supply, food supply chain, gangetic plain, hazardous condition, increase price, indo gangetic, indo gangetic plain, legal case, mechanical engineering, nonrenewable energy, pec chandigarh, pende legal, pende legal case, populous, problem, round, sabbatical leave, seat, supply chain, win formula, win win, win win formula, winter fog, winter fog experiment"
Jitin Singla,"advance, best award, breast cancer, chairman, computer, computer vision, computing analytics, constant, edition, image processing, integrative analysis, multiple disease, public transport, sahay, sustainable transport"
Rajesh Kumar,"asymmetric raman, asymmetric raman line shape function, dae csr, decade, dependent diffuse, dependent raman, deshpande ugc, deshpande ugc dae csr, diffuse reflectance, dope concentration, dope sno, effect, emission setup, energy management, feature, gel spin, gel spin coating, image experiment, indium dope, line shape, lorentzian line, lorentzian line shape, nanorod, network increase, operation window, palani, polycrystalline sample, product, qualitative evolution, raman line, raman spectromicroscopy, reflectance spectroscopy, shape function, sic facility, significant amount, sno thin, spectroscopy measurement, spin coating, strategic energy, strategic energy management, temperature dependent, temperature dependent diffuse reflectance spectroscopy measurement, temperature dependent raman spectromicroscopy, tetragonal, thermal image, thermal image experiment, thin film, ugc dae, ultimate, undoped indium, undoped indium dope sno thin film, useful discussion, wireless network, wireless network increase"
Akhil Upadhyay,"advantage, analysis, bridge, buckle, building, century, civil engineering, complex phenomenon, complex state, composite slab, concrete composite, concrete infrastructure, considerable longitudinal, considerable longitudinal rail force, continuous weld, continuous weld rail, cwr track, design, efficient combination, engineering section, frp hat, lengthy equation, longitudinal rail, optimum design, rail force, shear, steel concrete, steel concrete composite slab, structural engineering, structural engineering section, structurally efficient, structurally efficient combination, tensile resistance, weld rail"
