researcher_name,skills
Smriti Saraswat,"assistant professor, banal architecture, conference programme, decade, department, economic policy, great consumer, guidance, huge, india prof, india prof rk nagaria, indigenous reality, interior architect, koti banal, koti banal architecture, letter, liberalized economic, liberalized economic policy, lopsided growth, nishath salma, prof rk, program chair, reflection, review process, rk nagaria, sanskrit word, smriti dwivedi, smriti saraswat, source image, surname, tall building, vidya dahejia, vishal saraswat, woman"
Sonal Atreya,"atreya sonal, bachelor, bachelor degree, biomedical engineering, centre, combination, credit, foremost, indian institute, intelligent system, joint tech, joint tech programme, kusum atreya, master, master degree, mom kusum, mom kusum atreya, national importance, paper, persistent encouragement, phd, public space, rediscovery, role, senate, significance, sonal atreya, sonal atreya sonal atreya, step, tech programme, trend, world"
Tina Pujara,"anopheline mosquito, background asia, bicycle safety, compan de, compan de recerq ue, cristians pel, cytological morphological, cytological morphological technique, de cristians, de cristians pel socialisme, de recerq, feedback evaluation, generation cycle, grow cardiacum, important part, interaction, jordi lpez, large populous, lpez camp, major, model, morphological technique, open space, pel socialisme, pleasant social, pleasant social relationship, population, populous continent, principal concern, public open, public open space, quan jordi, quan jordi lpez camp, recerq ue, safe sustainable, safe sustainable accommodation, sense, social group, social relationship, sustainable accommodation, synchronously grow, synchronously grow cardiacum, taxonomy, ultraviolet radiosensitivity, world large, world large populous continent"
Uttam Kumar Roy,"adsorption behavior, band position, bandgap alignment, bipolar plate, book, building material, characterization facility, common building, common building material, computational drug, computational drug design, constantinos antoniou, conventional deadline, corba application, critical feature, drug design, electrical conductivity, elemental sulfur, emmanouil chaniotakis, housing market, intelligent technique, kumar roy, late advance, latency quality, low latency, major waste, proper drug, proper drug design, rental housing, resource, rural, scalable low, scalable low latency quality, stainless steel, sulfurrich copolymer, support, traditional building, uttam kumar, uttam kumar roy, vibrant housing, vibrant housing market"
V Devadas,"ali ali, ali ali raclise feat ore oif iisiiig lliiaptaijrili, ali raclise, aspect, case, corporation, development plan, distinguished climate, dynamic technique, economic upsurge, feat ore, iisiiig lliiaptaijrili, increase population, migration economic, oif iisiiig, ore oif, pillai, raclise feat, rapid pace, rapid urbanization, rapid vehicular, rapid vehicular growth, reason, suggestion, supervision, survey, system, theory, thesis, urban climate, urban migration, urban migration economic upsurge, vehicular growth, waste quantity, work"
Jaydev Dabas,"abstract fractional, abstract fractional functional integro differential equation, approximate controllability, approximate controllability problem, article, boundary value, class, continuous dependence, continuous dependence result, controllability problem, copyright jaydev, copyright jaydev daba et al, daba et, dependence result, differential equation, differential system, et al, evolution equation, existence, existence uniqueness, fractional evolution, fractional evolution equation, fractional functional, fractional impulsive, fractional impulsive differential equation, fractional integral, fractional order, functional differential, functional integro, general framework, impulsive differential, impulsive differential equation, impulsive fractional, impulsive fractional integral boundary value problem, impulsive fractional order semilinear evolution equation, impulsive functional, integral boundary, integro differential, investigation, jay daba, jaydev daba, main work, order semilinear, paper, second order, semilinear evolution, semilinear impulsive, semilinear impulsive functional differential system, solution, value problem, work"
Millie Pant,"academic department, algorithm nsga, applied science, apply science, artificial bee, artificial bee colony, associate professor, bee colony, chain management, department, education sector, education sector ie educational supply chain management, educational supply, efficiency, extensive review, global optimization, global optimization problem, hybrid phase, hybrid phase global optimization algorithm, ie educational, improved version, management concept, millie pant, multi objective, new variant, nineteen academic, nineteen academic department, novlty, nsga ii, objective optimization, optimization algorithm, optimization problem, paper, particle swarm, particle swarm optimization, phase global, popular multi, popular multi objective optimization algorithm nsga ii, present study, sector ie, student, supply chain, supply chain management concept, swarm optimization, variant"
Rajan Arora,"acoustic theory, amplitude high, amplitude wave, analysis method, analytic solution, approximate analytic, approximate analytic solution, approximate solution, asymptotic solution, basic equation, different type, differential transform, equal width, evolution equation, exact solitary, exact solitary wave solution, exact solution, expert, far field, far field behaviour, field behaviour, frequency asymptotic, geometrical acoustic, high frequency, homotopy analysis, homotopy analysis method, information technology, iteration method, linear geometrical, modified equal, modified equal width wave equation, modify form, non linear, numerical solution, paper, phd, rajan arora, reduced differential, reduced differential transform method, senior undergraduate, senior undergraduate student, shock wave, shock wave propagation, small amplitude, small amplitude high frequency asymptotic solution, small amplitude wave, solitary wave, transform method, undergraduate student, variational iteration, variational iteration method, wave equation, wave propagation, wave solution, weakly non, weakly non linear geometrical acoustic theory, well approximate, well approximate solution, width wave, work"
Ashwani Kumar Sharma,"author, biotechnological potential, chitin metabolic, chitin metabolic pathway, computational facility, crystallographic unit, decolorize peroxidase, department, dye decolorize, dye decolorize peroxidase, endocrine disruptor, farnesol dehydrogenase, fibrinolytic activity, gaussian software, heme peroxidase, individual unit, kda serine, kda serine protease, key step, latex, lucrative target, macromolecular crystallographic, macromolecular crystallographic unit, management regime, material, metabolic pathway, oxidation reaction, peroxidase family, pest management, pest management regime, plasticizer, potential carcinogen, process, prof shailly, prof shailly tomar, savita bk, serine protease, shailly tomar, thank mhrd, unique heme, unique heme peroxidase family"
Bijan Choudhury,"area, azo dye, biodiesel manufacturing, biodiesel manufacturing industry, book, branched chain, chain fatty, china nishchal, cold flow, cold flow property, communication engineering, crude glycerol, current knowledge, degree, department, direct guidance, electrical communication, electronics electrical, electronics electrical communication engineering, enrich branched, enrich branched chain fatty acid, fatty acid, flow property, fuli wu, haloalkaliphilic bacterium, hypersaline environment, important product, india fuli, india fuli wu zhejiang, indian institute, industrially important, industrially important product, information technology, information technology allahabad, institute, international conference, manufacturing industry, microbial remediation, nishchal verma, novel haloalkaliphilic, novel haloalkaliphilic bacterium, oxidation stability, potential, pr china, pr china nishchal verma, sambhar lake, second international, second international conference, soil sample, sponsor project, stress condition, technology allahabad, trehalose biosynthesis, west bohemia, wu zhejiang"
Debabrata Sircar,"active coumarin, adventitious crown, artificial bone, artificial bone graft substitute, band operation, bear adventitious, biologically active, biologically active coumarin, bone graft, cell suspension, cell suspension culture, coconut product, coconut water, course variation, crown root, derive fibrous, dual band, dual band operation, economically important, economically important tropical palm fruit, endocrine disruptor, endosperm, extracellular matrix, fibrous root, graft substitute, graphene patch, graphene patch antenna, health protective, high nutritional, high nutritional value health protective property, highly derive, highly derive fibrous root system, hplc method, ideal scaffold, important quality, important tropical, medicinal plant, molecular mechanism, nutritional value, nutritionally important, nutritionally important quality attribute, palm fruit, paper, patch antenna, plasticizer, potential carcinogen, presence, protective property, quality attribute, remarkable nutritional, remarkable nutritional value, reverse phase, root system, ruta chalepensis, shoot bear, shoot bear adventitious crown root, simultaneous determination, study, suspension culture, time course, time course variation, tropical palm, value health"
Deepak Sharma,"anti inflammatory, antibacterial antioxidant, antibacterial antioxidant anti inflammatory property, antioxidant anti, atomic scale, atomic scale rearrangement, bilayere dermal, cardiac ischemia, chalcogenide material, change memory, condition, cytokine production, decrease, deepak sharma, dermal patch, diastereoselective synthesis, domino reaction, electrical property, enantio diastereoselective, ferroelectric film, functionalize isochroman, graftversushost disease, high titanium, highly enantio, highly enantio diastereoselective synthesis, highly functionalize, highly functionalize isochroman, hybrid layered, hybrid layered manufacturing, inflammatory property, inhibit growth, layered manufacturing, lead zirconate, manufacturing process, memory pcm, metallic object, multifunctional bilayere, multifunctional bilayere dermal patch, nm thin, nm thin lead zirconate titanate, nmr, organocatalyze domino, organocatalyze domino reaction, pcm cell, phase change, phase change memory, phase change memory pcm cell, present study, rapid manufacturing, rapid manufacturing process, scale rearrangement, secure model, single crystal, structural relaxation, study, thin lead, titanium oxynitride, ultrathin high, ultrathin high titanium oxynitride, zirconate titanate"
P Gopinath,"available medication, biological application, carbon dot, carrier system, catalytic cys, clinically orthopaedic, clinically orthopaedic implant material, conformational behavior, currently available, currently available medication, doctoral degree, fluorescence property, fluorescent carbon, functionalize carbon, gopinath orcid, honey john, huge, implant material, importance, ineffective treatment, inorganic content, intriguing fluorescence, intriguing fluorescence property, k, lot, multi resistant, multi resistant organism, multicolour fluorescent, multicolour fluorescent carbon dot, multifunctional nanoscale, multifunctional nanoscale carrier system, nanoscale carrier, nanoscale material, novel step, novel step method, orcid logo, organic inorganic, organic inorganic content, orthopaedic implant, polyethylene glycol, pramod gopinath, pramod gopinath orcid logo, prevalence, reji philip, replacement, resistant organism, rri bangalore, scan facility, step method, surface functionalize, surface functionalize carbon dot, uday kumar, waste biomass"
Harsh Chauhan,"central facility, charantia mc, cold room, country, department, distilled water, double distilled, double distilled water, drawback, edible crop, establish synthetic, establish synthetic route, faculty initiation, faculty initiation grant, field area, harsh reaction, harsh reaction condition, high nutritional, high nutritional quality, initiation grant, large amount, long reaction, long reaction time, mc seed, min, moisten blotting, momordica charantia, momordica charantia mc seed, nano facility, nutritional quality, paper, polymer, purpose, reaction condition, reaction time, select cultivar, study, suitability, synthetic route, thermal degradation, twitter analytic"
Srinivas Kiran Ambatipudi,"dr kiran, dr kiran ambatipudi, kiran ambatipudi, lab, proteomic lab"
Krishna Mohan Poluri,"antifungal resistance, antimicrobial agent, associate professor, author link, bacterial biofilm, biofilm architecture, blood sample, carbon footprint, department, deteriorate outcome, environmental pollution, field, fingerprinting technique, grow need, healthy human, healthy human volunteer, high rate, high throughput, high throughput fingerprinting technique, human volunteer, krishna mohan, krishna mohan poluri, magnetic resonance, metabolomic approach, microalgal lipid, mohan poluri, nmrbase metabolomic, nmrbase metabolomic approach, nuclear magnetic, nuclear magnetic resonance, open overlay, open overlay panel shweta tripathi, overlay panel, panel shweta, petroleum fuel, promising alternative, recent advance, recurrent antimicrobial, recurrent antimicrobial agent, resistance, shweta tripathi, throughput fingerprinting, year"
Maya S.Nair,"author, averrhoa bilimbi, bioactive molecule, book, ccis volume, computational facility, degree college, different image, dravidian family, form, fruit leaf, fruit leaf extract, graduate degree, graduate degree college, human serum, human serum albumin, interaction, interesting tribal, interesting tribal language, international conference, internship programme, lab computational, lab computational facility, land, leaf extract, maya software, opportunity, paper, presence, refereed proceeding, second international, second international conference, senior academician, serum albumin, sparc, stilbene compound, summer internship, summer internship programme, target release, technical education, therapeutic purpose, tribal language"
N K Navani,"ag nanoparticle, assay, blood sample, chronic infection, conductance limitation, department, emergence, ethic consideration, glass slide, gram negative, haloalkaliphilic bacterium, human ethic, human ethic consideration, jeol microscope, lawn, mdr gram, mdr gram negative pathogen, negative pathogen, novel haloalkaliphilic, novel haloalkaliphilic bacterium, novel technique, paper, pond water, posdoctoral fellow, purpose, sambhar lake, sample, sewage water, shell nanoparticle, silver core, silver np, soil sample, support ag, support ag nanoparticle, synthesis, technical staff, train technical, train technical staff, treat sewage, treat sewage water"
Partha Roy,"article, bionanocomposite, cellulose nanocrystal, challenge, computer science, degree, department, digital medium, electrical cue, evolution, immense, impaired people, intelligent transportation, intelligent transportation system, isolated sign, isolated sign language recognition, language recognition, main part, manual signa, mean, multimodal framework, novel multimodal, novel multimodal framework, paper, partha pratim, partha pratim roy, phd degree, pratim roy, recommendation system, sign language, transportation system, visual surveillance"
Poonam Choudhary,"algae, algal biofilm, algal biofuel, anaerobic digestion, author, biofilm reactor, biomass potential, biomass production, biomass production potential, continuous supply, coproduct generation, coproduct generation wastewater integration, cost effectiveness, detailed characterization, domestic grey, domestic grey water, drain, dump site, energy cost, engineering department, establish energy, establish energy cost effectiveness, extensive detailed, extensive detailed characterization, facility, filamentous fungus, fungal isolate, generation wastewater, grey water, know fungal, know fungal isolate, livestock wastewater, major limitation, microalgae consortium, native microalgae, native microalgae consortium, phd work, pilot scale, pilot scale algal biofilm reactor, poonam choudhary, potential, present study, present work, process technology, production potential, scale algal, study, unknown filamentous, unknown filamentous fungus, wastewater integration"
Prabhat Kumar Mandal,"abstract analysis, agricultural education, ally sector, canada swapan, canada swapan bhattacharya, coal mining, coal pillar, declaration, development, different geological, different geological discontinuity, education system, electronic good, energy harvesting, ethical principle, excavation, experiment, failure mechanism, free halide, geological discontinuity, halide perovskite, harvesting application, high quality, immense popularity, inclined coal, inclined coal pillar, kumar mahanti, lead free, lead free halide perovskite, major benefit, major concern, national agricultural, national agricultural education system, new brunswick, overall objective, percent, photovoltaic energy, photovoltaic energy harvesting application, prabhat kumar, prabhat kumar mahanti, quality education, relevant high, relevant high quality education, rock mass, stratum control, swapan bhattacharya, underground coal, underground coal mining"
Pranita P Sarangi,"area, cellular process, doctorate degree, dr pranita, family gtpase, indian institute, molecular switch, numerous cellular, numerous cellular process, professor, rho family, rho family gtpase, year"
Pravindra Kumar,"alarming rate, anaerobic chamber, antibiotic resistance, aureus, author, bind protein, biotechnological potential, computational facility, decolorize peroxidase, department, dye decolorize, dye decolorize peroxidase, endocrine disruptor, farnesol dehydrogenase, gaussian software, heme peroxidase, immunocompromise patient, key step, klebsiella pneumonia, mechanic study, nosocomial infection, novel esterase, oxidation reaction, penicillin bind, penicillin bind protein, peroxidase family, plasticizer, potential carcinogen, pravindra kumar, prof pravindra, prof pravindra kumar, prof shailly, prof shailly tomar, quantum mechanic, quantum mechanic study, removal, rise antibiotic, rise antibiotic resistance, shailly tomar, smile, thank mhrd, unique heme, unique heme peroxidase family, whitley"
Prince Tiwari,"ben brahim, bin fahd, brazil prof, brazil prof nikitasm sgouros, british, conference, conference proceeding, cux, expression, fahd univ, ghassen ben, ghassen ben brahim, gneshu tiwari, guinier camera, healthy body, healthy mind, international symposium, machine learning, mayo college, mohammad bin, morale, nikitasm sgouros, noise annoyance, physiological psychological, physiological psychological strain, powder ray, powder ray diffraction, prince mohammad, prince mohammad bin fahd univ, prof nikitasm, psychological strain, ray diffraction, real world, real world problem, safety policy, signal processing, site, sri vat, traffic safety, traffic safety policy, transportation planning, variety, vertical guinier, vertical guinier camera, virtual mode, volume, world problem"
R. P. Singh,"advanced turbulent, advanced turbulent drag reducing, aeronet reference, aeronet team, associate professor, author, consistency check, corncob biochar, dean, drag reducing, engineering course, field, flocculating material, food engineering, food engineering course, harish vishwakarma, housing mplnet, investigation, joint agreement, kanpur, level, mean sea, mean sea level, potential, present paper, sanjay dhande, sea level, sincere thank, singh, support, turbulent drag, work"
Ramasare Prasad,"acute respiratory, alternative treatment, alternative treatment strategy, author, biomass triacylglyceride, central facility, century, chitosan gold, coronavirus disease, critical input, envelop positive, envelop positive sense single strand rna virus, environment, equipment mumbai, financial assistantship, functionalize chitosan, fungal infection, gold nanoparticle, halotolerant characteristic, htl reactor, institute instrument, institute instrument center, instrument center, instrument facility, instrumentation facility, mittal, multitude, positive sense, prasad, present study, quarter, respiratory syndrome, rna virus, schematic representation, sense single, severe acute, severe acute respiratory syndrome coronavirus, single strand, strand rna, sustainable biomass, sustainable biomass triacylglyceride tag production, sww, syndrome coronavirus, tag production, threat, toxicity, treatment strategy, triacylglyceride tag, typical htl, typical htl reactor, tyrosol functionalize, tyrosol functionalize chitosan gold nanoparticle, viable alternative"
Ranjana Pathania,"acinetobacter baumannii, antibacterial property, antibiotic resistance, antimicrobial resistance, approve drug, bacterial persister, bacterial strain, care setting, development, disproportionate use, drug disulfiram, drug resistance, drug resistant, drug tolerant, dwindle supply, efflux pump, emergence, fda approve, fda approve drug disulfiram, global health, global health problem, gram negative, gram negative nosocomial pathogen, health care, health care setting, health problem, inappropriate disproportionate, inappropriate disproportionate use, increase prevalence, lead cause, major determinant, member, multiple drug, multiple drug resistance, multiple drug resistant pathogen, negative nosocomial, noninheritable drug, noninheritable drug tolerant population, nosocomial pathogen, pathania lab, pseudomonas sp, resistant pathogen, rpt, soft tissue, soft tissue infection, staphylococcus aureus, tissue infection, tolerant population, valuable suggestion, vivo efficacy"
Sanjoy Ghosh,"abundantly available, abundantly available low cost pine needle, add product, aditi awasthi, alternative, application, available low, biochemical engineering, biofuel production, cda production, cellulolytic enzyme, chitin deacetylase, consequence, conventional fermentation, conventional fossil, conventional fossil fuel, cost pine, different initial, different initial step, engineering lab, enzymatic treatment, fermentation condition, food industry, fossil fuel, generation biofuel, ghosh biochemical, great concern, high value, high value add product, initial step, lignocellulosic material, limitation, low cost, microalgal biomass, novel technique, pharmaceutical food, pharmaceutical food industry, pine needle, present study, promising approach, renewable fuel, sanjoy ghosh, sanjoy ghosh biochemical engineering lab, second generation, second generation biofuel production, value add, vasundhara jain"
Saugata Hazra,"abundant wellbeing, abundant wellbeing benefit, acid oxidase, aldosterone system, alternative renewable, alternative renewable source, angiotensin aldosterone, beta lactamase, beta lactamase inhibitor, biomass derive, biomass derive fermentable sugar, carbonic anhydrase, cell oil, central pathway, code region, damino acid, damino acid oxidase, derive fermentable, drug resistant, emergence, essential healthy, essential healthy nutritional component, ethanol fermentation, extensively drug, extensively drug resistant xdr tuberculosis, family, fermentable sugar, functional food, global health, hallmark, health concern, healthy nutritional, inhibitory potential, key therapeutic, key therapeutic target, lactamase inhibitor, lifecycle, marxianus, missense mutation, multidrug resistant, multidrug resistant mdr, nutritional component, potential, recent emergence, renewable source, renin angiotensin, renin angiotensin aldosterone system, resistant mdr, resistant xdr, significant global, significant global health concern, single cell, single cell oil, study, therapeutic target, vibrio cholerae, wellbeing benefit, xdr tuberculosis, yeast lipid"
Shailly Tomar,"bacterial pathogen, binuclear metalloenzyme, biotechnological potential, coronavirus disease, crystallographic unit, decolorize peroxidase, department, dye decolorize, dye decolorize peroxidase, endocrine disruptor, ester bond, gaussian software, heme peroxidase, hydrolytic activity, immunocompromise patient, klebsiella pneumonia, macromolecular crystallographic, macromolecular crystallographic unit, nosocomial infection, novel approach, novel hydrolytic, novel hydrolytic activity, ongoing, pandemic, penicillin recognize, penicillin recognize protein, peroxidase family, plasticizer, potential carcinogen, potential target, potential therapeutic, potential therapeutic target, prevalent cause, professor, recognize protein, shailly tomar, staphylococcus aureus, therapeutic intervention, therapeutic target, unique heme, unique heme peroxidase family, widespread bacterial, widespread bacterial pathogen"
Shri Ram Yadav,"adventitious crown, adventitious crown root, attention, beneficial medium, biox centre, coleoptile base, conserve regulator, crown root, dimensional tellurium, dr kiran, dr kiran ambatipudi, employing nanofluid, energy harvesting, energy harvesting device, harvesting device, image, initial standardization, input, interesting idea, kiran ambatipudi, layer multilayer, layer multilayer dimensional tellurium te nanoflake, layer thickness, managing director, mechanism underlie, mechanism underlie initiation, multilayer dimensional, ram yadav, rice root, rice root system, root architecture, root system, senior padma, shri ram, shri ram yadav, shri sreedharan, structural vibrational, structural vibrational property, te nanoflake, tellurium te, underlie initiation, vibrational property, work, work fluid"
Soma Rohatgi,"albicans candida, albicans candida specie, alginate core, animal, animal facility, antibody immunity, balb mouse, candida specie, cell deficient, chikungunya virus, chitosan alginate, chitosan alginate core shell nanoparticle, core shell, cryptococcus neoformans, deficient mouse, definitive role, develop world, diabetes mellitus, early neoformans, early neoformans dissemination, emergence, fungal infection, genus candida, global infectious, global infectious disease, health concern, igm cell, igm cell deficient mouse, importance, increase, infection, infectious disease, invasive fungal, invasive fungal infection, lead cause, major public, major public health concern, mosquito transmit, mosquito transmit alphaviru, neoformans dissemination, present work, public health, rifaximin, rise incidence, severe illness, shell nanoparticle, small animal, small animal facility, systemic candidiasis, transmit alphaviru, world"
Sachin Suresh Tiwari,"adoption, artificial intelligence, celebrity endorsement, challenge, construction worker, crude oil, dehardun sachin, dehardun sachin goyal, deplete nonrenewable, deplete nonrenewable energy resource, dit, efficient teamwork, energy resource, fog experiment, food supply, food supply chain, gangetic plain, gp agrawal, hazardous condition, increase price, indo gangetic, indo gangetic plain, legal case, mechanical engineering, need, nonrenewable energy, objective, pec chandigarh, pende legal, pende legal case, populous country, problem, round, sabbatical leave, sachin goyal, seat, supply chain, trend, win formula, win win, win win formula, winter fog, winter fog experiment, work"
Jitin Singla,"advance, best paper, best paper award, breast cancer, chairman, computer technology, computer vision, computing analytics, conference, constant support, edition, foundation, image processing, indian conference, integrative analysis, international conference, member, multiple disease, national conference, paper award, public transport, sahay, sustainable transport, world"
Rajesh Kumar,"asymmetric raman, asymmetric raman line shape function, coating process, dae csr, decade, dependent diffuse, dependent raman, deshpande ugc, different dope, different dope concentration, diffuse reflectance, dope concentration, dope sno, dr deshpande, dr deshpande ugc dae csr, dr ia, dr ia palani, effect, emission setup, energy management, feature, field emission, field emission setup, gel spin, gel spin coating process, ia palani, image experiment, indium dope, line shape, lorentzian line, lorentzian line shape, nanorod, network increase, operation window, phd degree, polycrystalline sample, product, professor, qualitative evolution, rajesh kumar, raman line, raman spectromicroscopy, reflectance spectroscopy, shape function, sic facility, significant amount, sno thin, spectroscopy measurement, spin coating, strategic energy, strategic energy management, study, temperature dependent, temperature dependent diffuse reflectance spectroscopy measurement, temperature dependent raman spectromicroscopy, tetragonal, thermal image, thermal image experiment, thin film, ugc dae, ultimate source, undoped indium, undoped indium dope sno thin film, useful discussion, wireless network, wireless network increase"
Akhil Upadhyay,"advantage, akhil upadhyay, associate professor, bridge, buckle study, building, century, challenge, civil engineering, civil engineering department, complex phenomenon, complex state, composite slab, concrete composite, concrete infrastructure, considerable longitudinal, considerable longitudinal rail force, continuous weld, continuous weld rail, cwr track, design purpose, efficient combination, engineering department, engineering section, faculty member, fe analysis, frp hat, lengthy equation, longitudinal rail, optimum design, present study, rail force, shear strength, steel concrete, steel concrete composite slab, structural engineering, structural engineering section, structurally efficient, structurally efficient combination, tensile resistance, upadhyay, weld rail"
