,researcher_name,skills
10,"Berge, Nicole D.","{'room berge focus improving understanding physical', 'added product', 'carbon sequestration', 'energy yield', 'remediation technology', 'chemical', 'main street', 'value added', 'lead carbon', 'subsequent evaluation', 'production specific', 'development subsequent', 'conversion municipal', 'disposed nanomaterials', 'technique lead', 'landfill thermochemical', 'bioreactor landfill', 'thermochemical conversion', 'manipulated promote', 'yield waste', 'stream resource', 'stream leachate', 'evaluation innovative', 'pharmaceutical', 'disrupting compound', 'care product', 'process development', 'resource recovery', 'room berge', 'biological process', 'waste stream', 'berge focus', 'personal care product endocrine disrupting compound bioreactor landfill thermochemical conversion municipal solid waste increasing energy yield waste stream resource recovery waste stream leachate treatment process development subsequent evaluation innovative groundwater remediation technology', 'improving understanding', 'specific area', 'process manipulated', 'innovative groundwater', 'energy generation', 'endocrine disrupting', 'treatment technique', 'increasing energy', 'compound bioreactor', 'personal care', 'waste increasing', 'focus improving', 'sustainable waste', 'promote sustainable', 'area exploration', 'groundwater remediation', 'municipal solid', 'understanding physical', 'fate disposed', 'treatment process', 'product endocrine', 'solid waste', 'recovery waste', 'leachate treatment', 'waste treatment', 'biological process manipulated promote sustainable waste treatment technique lead carbon sequestration', 'value added product production specific area exploration fate disposed nanomaterials', 'exploration fate', 'product production'}"
11,"Besmann, Theodore  M.","{'waste material', 'nuclear fuel', 'fuel waste', 'nuclear fuel waste material'}"
12,"Bischoff, Jeff ","{'constitutive testing modeling hypertrophic scar', 'analysis structural', 'soft tissue', 'growth tissue', 'passive mechanic', 'testing modeling', 'tissue scaffolding', 'dr bischoff', 'framework modeling', 'biomedical engineering', 'bischoff biomedical', 'dr bischoff biomedical engineering', 'artificial tissue', 'constitutive evolution', 'modeling hypertrophic', 'structural constitutive', 'analysis structural constitutive evolution artificial tissue scaffolding', 'mechanic soft', 'passive mechanic soft tissue', 'constitutive testing', 'theoretical framework modeling growth tissue', 'hypertrophic scar', 'evolution artificial', 'theoretical framework', 'modeling growth'}"
13,"Blanchette, James  Otto","{'cell aggregate', 'following transplantation', 'hydrogel material', 'behavior endothelial', 'fall area', 'instructive material', 'spheroid geometry', 'chemotherapeutics administered', 'sc fall', 'transplantation mesenchymal', 'vascularization skiles', 'spectrum chemotherapeutics', 'genetic engineering', 'room main streetcolumbia', 'hanna', 'three dimensional', 'cell transplantation', 'responsive delivery', 'asc spheroid', 'function pancreatic', 'cell enhance', 'design cell', 'expand spectrum', 'material tracking', 'room main', 'induction pre', 'design instructive', 'cell cell', 'instructive hydrogel', 'administered orally', 'pancreatic islet', 'engineering specific', 'delivery therapeutic tissue engineering specific project developing responsive delivery system expand spectrum chemotherapeutics administered orally extending proper function pancreatic islet cell following transplantation genetic engineering design instructive hydrogel material tracking hypoxic signaling three dimensional cell aggregate transplantation mesenchymal stem cell enhance vascularization skiles l', 'transplantation genetic', 'specific project', 'enhance vascularization', 'rucker', 'aggregate transplantation', 'main streetcolumbia', 'geometry culture', 'brougham cook', 'impact induction', 'therapeutic tissue', 'delivery therapeutic', 'system expand', 'proper function', 'differentially impact', 'angiogenic behavior', 'extending proper', 'cell following', 'blanchette asc', 'endothelial cell', 'sc fall area design cell instructive material', 'cell instructive', 'delivery system', 'project developing', 'islet cell', 'engineering design', 'tracking hypoxic', 'pre angiogenic', 'orally extending', 'dimensional cell', 'mesenchymal stem', 'brougham cook blanchette asc spheroid geometry culture oxygenation differentially impact induction pre angiogenic behavior endothelial cell cell transplantation', 'cook blanchette', 'oxygenation differentially', 'hypoxic signaling', 'stem cell', 'signaling three', 'tipton', 'developing responsive', 'area design', 'skiles l', 'tissue engineering', 'culture oxygenation'}"
14,"Boltin, Nicholas D.","{'network improve', 'science computer', 'interaction boltin', 'artificial neural', 'science focus', 'industry data', 'field employ', 'supervised unsupervised machine learning', 'information data', 'analytical technique', 'application dimensional', 'technique including', 'evaluate translational', 'culley jm', 'supervised unsupervised', 'chemical mass', 'study jmir', 'press boltin', 'incident edit', 'employ technique', 'focus categorized', 'valdes', 'well predictive', 'support tool', 'neural network', 'jmir mhealth', 'department mass', 'emergency department', 'incident article', 'valafar mobile decision support tool emergency department mass casualty incident edit initial study jmir mhealth uhealth', 'information science computer science focus categorized two broad area one', 'statistical analysis', 'well predictive modeling two', 'statistic', 'broad area', 'sophisticated algorithm', 'predictive modeling', 'tool created', 'categorized two', 'machine learning', 'science interdisciplinary', 'article press', 'culley', 'healthcare industry', 'tool emergency', 'valafar application', 'mobile decision', 'many discipline', 'data mining', 'data utilizing', 'latest software', 'informatic tool', 'unsupervised machine', 'valafar mobile', 'dimensional reduction', 'valafar application dimensional reduction artificial neural network improve emergency department triage chemical mass casualty incident article press boltin', 'system healthcare', 'using latest', 'data science', 'created deploy', 'dimension reduction', 'improve emergency', 'algorithm using', 'technique many', 'development human', 'area one', 'human computer', 'design evaluate translational informatic tool created deploy sophisticated algorithm using latest software development human computer interaction boltin', 'focus developing', 'translational informatic', 'design evaluate', 'casualty incident', 'including data', 'initial study', 'interdisciplinary field', 'decision support', 'modeling two', 'developing decision', 'software development', 'discipline mathematics', 'support system', 'computer science', 'utilizing analytical', 'department triage', 'boltin focus', 'information science', 'glean information', 'deploy sophisticated', 'two broad', 'glean information data utilizing analytical technique including data mining', 'triage chemical', 'reduction artificial', 'computer interaction', 'edit initial', 'mass casualty', 'dr boltin focus developing decision support system healthcare industry data science interdisciplinary field employ technique many discipline mathematics', 'mhealth uhealth', 'dr boltin'}"
15,"Booth, Kristen","{'transformer optimization', 'medium frequency', 'medium frequency transformer optimization', 'power grid', 'electronics reliability', 'grid resiliency', 'frequency transformer', 'power electronics', 'power grid resiliency', 'power electronics reliability'}"
16,"Brookshire, Robert G., Ph.D.","{'article appeared journal computer information system', 'article appeared', 'director master', 'appeared journal', 'science computer', 'madison co', 'suite', 'computer information', 'north texas', 'information technology', 'technology program', 'president organizational', 'managementitec mainframe', 'byte', 'new york', 'journal computer', 'james madison', 'journal past president organizational system association editor information technology', 'european journal', 'texas state', 'sage publication', 'college engineering', 'legislative study', 'past president', 'sc director', 'mainframe systemsitec', 'robert brookshire', 'information system', 'james madison co author using microcomputer sage publication', 'study quarterly', 'system association', 'organizational system', 'systemsitec linux', 'programming administration', 'european journal operational', 'association editor', 'editor information', 'performance journal', 'linux programming', 'co author', 'legislative study quarterly', 'journal operational', 'record managementitec', 'virginia', 'engineering computing', 'microcomputer sage', 'north texas state', 'social science computer review', 'integrated information', 'taught new', 'health information', 'professor integrated', 'computer review', 'master health', 'innovation assembly', 'brookshire professor', 'ha taught', 'columbia', 'journal past', 'journal itec', 'assembly street', 'sc robert brookshire professor integrated information technology department college engineering computing', 'program ha', 'department college', 'using microcomputer', 'learning', 'social science', 'technology department', 'sc robert', 'itec record', 'innovation assembly street', 'author using', 'sc director master health information technology program ha taught new york', 'performance journal itec record managementitec mainframe systemsitec linux programming administration'}"
17,"Broughton, Earnie","{'vtb smart', 'developer virtual', 'practice responsibility', 'plan integrating', 'design project', 'responsibility gathering', 'test bed', 'stakeholder navy', 'best practice', 'addition writing', 'virtual test', 'earnie lead', 'integrating requirement', 'including mentoring student programming professional development best practice responsibility gathering stakeholder navy', 'mentoring student', 'activity development', 'industry requirement', 'including mentoring', 'requirement developing', 'ship system', 'private industry requirement developing plan integrating requirement consortium education', 'supervises daily activity development team project', 'lead software', 'daily activity', 'development team', 'gathering stakeholder', 'software developer', 'requirement consortium', 'system design', 'developing plan', 'team project', 'writing code', 'student programming', 'esrdc consortium', 'development best', 'private industry', 'professional development', 'programming professional', 'bed vtb', 'smart ship', 'supervises daily', 'earnie lead software developer virtual test bed vtb smart ship system design project addition writing code', 'project addition', 'consortium education'}"
18,"Buell, Duncan A.","{'election data', 'digital humanity', 'data support', 'broad class', 'algorithm architecture', 'ida cc', 'efficiency one', 'oriented computation', 'custom computing', 'fpgas compute', 'computer architecture', 'state digital', 'discrete mathematics text string processing', 'one app', 'multiprecision arithmetic', 'work ward', 'devised bit', 'neighborhood adjacent', 'architecture performing', 'floating point', 'data discovering', 'toward floating', 'xilinx fpgas', 'sc role', 'buell recent', 'performing computation', 'system digital', 'ward one', 'reduced efficiency', 'urban renewal', 'engaged analysis first year english essay linguistic characteristic improvement writing pedagogy professor buell past included algorithm architecture performing computation', 'characteristic improvement', 'processing computation', 'team auditing', 'compute element', 'discrete mathematics', 'problem process', 'significantly reduced', 'absence data', 'problem custom', 'one often', 'pedagogy professor', 'oriented toward', 'necessary another', 'image processing', 'arithmetic often', 'renewal columbia', 'programmed vhdl', 'vote absence', 'critical interactive', 'discovering problem', 'ha electronic', 'done string', 'architecture oriented', 'bit bit arithmetic often sufficient accuracy ida cc directed splash project building custom computing machine used xilinx fpgas compute element whose application programmed vhdl', 'class problem', 'part team', 'interactive iphone', 'columbia sc', 'building custom', 'process lead', 'support vote', 'analysis first', 'essay linguistic', 'humanity ha', 'image processing computation', 'past included', 'resident ward', 'point computation', 'directed splash', 'professor buell recent work ha electronic voting system digital humanity ha part team auditing election data discovering problem process lead uncounted vote absence data support vote total certified state digital humanity', 'cc directed', 'english essay', 'bit bit', 'application programmed', 'computational problem', 'critical interactive iphone urban renewal columbia sc role evicting resident ward one neighborhood adjacent', 'necessary another broad class problem custom computing machine devised bit oriented computation done string processing', 'one neighborhood', 'text string', 'number theory', 'auditing election', 'included algorithm', 'machine devised', 'writing pedagogy', 'uncounted vote', 'machine used', 'engaged analysis', 'fast integer', 'need substantial', 'electronic voting', 'problem number', 'role evicting', 'often need', 'computing machine', 'certified state', 'linguistic characteristic', 'project building', 'element whose', 'computation normally', 'year english', 'one class', 'iphone urban', 'first year', 'mathematics text', 'substantial parallelism', 'normally perform', 'traditional computer', 'bit arithmetic', 'recent work', 'vote total', 'total certified', 'computation done', 'co supervising work ward one app', 'evicting resident', 'supervising work', 'traditional computer architecture oriented toward floating point computation normally perform significantly reduced efficiency one class problem computational problem number theory fast integer arithmetic', 'often multiprecision', 'string processing', 'professor buell', 'perform significantly', 'ha part', 'buell past', 'another broad', 'lead uncounted', 'one often need substantial parallelism', 'co supervising', 'improvement writing', 'problem computational', 'whose application', 'voting system', 'used xilinx', 'bit oriented', 'often sufficient', 'accuracy ida', 'often multiprecision arithmetic', 'integer arithmetic', 'work ha', 'splash project', 'sufficient accuracy', 'theory fast'}"
19,"Caicedo, Juan","{'complete list', 'experimental mechanic', 'dr caicedo area specialization structural engineering emphasis structural dynamic numerical experimental area structural dynamic', 'society engineering', 'health monitoring', 'structural health', 'dynamic numerical', 'model updating', 'earthquake engineering structural control dr caicedo member american society civil engineer', 'society experimental mechanic american society engineering educator complete list project publication visit structural dynamic intelligent infrastructure lab website', 'area structural', 'project publication', 'emphasis structural', 'list project', 'area specialization', 'structural control', 'educator complete', 'engineering emphasis', 'visit structural', 'lab website', 'numerical experimental', 'earthquake engineering', 'network earthquake', 'engineering educator', 'publication visit', 'control dr', 'engineering structural', 'brown jr', 'infrastructure lab', 'structural dynamic', 'earthquake engineering institute', 'dynamic intelligent', 'civil engineer', 'engineering simulation', 'intelligent infrastructure', 'engineering institute', 'society civil', 'specialization structural', 'caicedo area', 'member american', 'dr caicedo', 'experimental area', 'structural health monitoring', 'caicedo member', 'society experimental', 'mechanic american', 'jr network', 'structural engineering', 'george brown', 'george brown jr network earthquake engineering simulation', 'american society'}"
20,"Carrilho, Leo ","{'design pwr', 'structural thermal', 'core component', 'simulation process', 'nuclear fuel', 'fuel core', 'hydraulic design', 'carrilho modeling', 'dr leo', 'leo carrilho', 'using fea cfd method', 'cfd method', 'using fea', 'fea cfd', 'dr leo carrilho modeling simulation process phenomenon structural thermal hydraulic design pwr nuclear fuel core component', 'pwr nuclear', 'modeling simulation', 'thermal hydraulic', 'process phenomenon', 'phenomenon structural'}"
21,"Carver, Wayne","{'matrix heart', 'seen alcohol', 'non muscle', 'abuse result', 'result myocardial', 'elaborate extracellular', 'alcohol seen', 'largely cardiac', 'myocardial fibrosis', 'road columbia', 'composed contractile', 'myocardial infarction', 'room garner', 'contractile muscle', 'infarction increased', 'cardiovascular performance', 'known affect', 'chronic exposure', 'ferry road', 'stiffer myocardium', 'interconnected supported', 'examine regulation', 'dr carver', 'function extracellular', 'lab focused', 'fibroblast cardiovascular', 'performance correlated', 'affect cardiovascular', 'fibrosis result', 'density organization', 'focused understanding', 'associated hypertension', 'school medicine', 'commonly associated', 'ventricular wall', 'matrix seen', 'cell non', 'heart produced', 'sc ventricular', 'cell others', 'extracellular matrix', 'behavior gene', 'type including', 'organization extracellular', 'fibroblast behavior', 'regulated heart', 'including fibroblast', 'change density', 'culture animal', 'accumulation extracellular', 'bldg room', 'understanding fibroblast', 'fibroblast dr', 'medicine bldg', 'seen fibrosis', 'heart function', 'used examine', 'matrix change', 'cell culture', 'supported elaborate', 'exposure alcohol', 'heart composed', 'hypertension myocardial', 'carver lab', 'animal model', 'garner ferry', 'heart disease', 'produced largely', 'fibrosis cell', 'regulation fibroblast', 'alters heart function extracellular matrix heart produced largely cardiac fibroblast dr carver lab focused understanding fibroblast behavior gene expression regulated heart particularly interested chronic exposure alcohol seen alcohol abuse result myocardial fibrosis cell culture animal model used examine regulation fibroblast cardiovascular disease', 'cardiovascular disease', 'matrix known', 'alters heart', 'others cell', 'disease instance', 'excessive accumulation', 'fibrosis commonly', 'school medicine bldg room garner ferry road columbia', 'heart particularly', 'cell interconnected', 'expression regulated', 'interested chronic', 'alcohol abuse', 'result stiffer', 'matrix fibrosis', 'cell type', 'increased accumulation', 'particularly interested', 'correlated heart', 'cardiac fibroblast', 'endothelial cell', 'model used', 'gene expression', 'sc ventricular wall heart composed contractile muscle cell non muscle cell type including fibroblast', 'wall heart', 'excessive accumulation extracellular matrix fibrosis commonly associated hypertension myocardial infarction increased accumulation extracellular matrix seen fibrosis result stiffer myocardium', 'muscle cell', 'endothelial cell others cell interconnected supported elaborate extracellular matrix change density organization extracellular matrix known affect cardiovascular performance correlated heart disease instance'}"
22,"Chandrashekhar, MVS","{'epitaxy', 'sic', 'plasmonics', 'chemistry', 'graphene'}"
23,"Chao, Yuh J. ","{'fracture fatigue material structure', 'constraint assessment specimen tested uniaxial biaxial loading condition', 'failure criterion', 'fracture fatigue', 'hao peng', 'durability pem', 'uniaxial biaxial', 'axial compression', 'yupeng qian', 'constraint assessment', 'theoretical experimental', 'combined experimental', 'system cao', 'solid structure', 'experimental numerical', 'biomechanics nanomechanics', 'stress distortion', 'chao theoretical', 'bi xiangju', 'yinbiao niffenegger', 'asme journal pressure vessel technology', 'cell system', 'tested uniaxial', 'pem fuel', 'impact mechanic material characterization failure criterion', 'durability pem fuel cell system cao', 'material structure', 'june wang', 'chen bingquan', 'zhu shiyang', 'vessel technology', 'wang bo', 'quasi perfect', 'perfect cylindrical', 'vol', 'asme journal', 'specimen tested', 'dr chao', 'international journal solid structure', 'yuh', 'impact mechanic', 'journal pressure', 'journal solid', 'shell axial', 'dukaifan', 'modeling residual', 'fatigue material', 'compression combined', 'june wang bo', 'buckling quasi', 'dr chao theoretical experimental study failure', 'material characterization', 'assessment specimen', 'markus chao', 'buckling quasi perfect cylindrical shell axial compression combined experimental numerical investigation', 'biaxial loading', 'welding modeling residual stress distortion', 'guian', 'characterization failure', 'study failure', 'international journal', 'cylindrical shell', 'residual stress', 'mechanic material', 'xiangtao', 'chao yuh', 'experimental study', 'numerical investigation', 'loading condition', 'welding modeling', 'fuel cell', 'pressure vessel'}"
24,"Chaudhry, Hanif","{'hydraulic engineering', 'water resource engineering', 'water resource', 'resource engineering', 'hydraulic transient'}"
25,"Chen, Fanglin (Frank)","{'solid oxide', 'solid oxide electrolysis cell', 'structure property', 'oxide fuel', 'chen synthesis', 'property relationship', 'oxide electrolysis', 'electronic conducting', 'dr chen', 'dr chen synthesis characterization material energy conversion storage', 'ionic electronic', 'solid oxide fuel cell', 'synthesis characterization', 'ionic electronic conducting ceramic', 'catalysis electrocatalysis', 'gas separation', 'conversion storage', 'material energy', 'energy conversion', 'characterization material', 'structure property relationship', 'gas separation membrane', 'electrolysis cell', 'composition', 'separation membrane', 'conducting ceramic', 'fuel cell'}"
26,"Chen, Yinchao","{'main streetcolumbia', 'swearingenroom main streetcolumbia', 'sc', 'swearingenroom main'}"
27,"Chen, Yuche","{'data sensing analytics', 'data sensing', 'sensing analytics', 'aiaugmented simulation', 'emerging technology'}"
28,"Cheng, Xu","{'kit sjtu', 'prof cheng', 'published paper', 'sjtu china', 'ha published', 'ha year', 'sjtu give', 'student kit', 'director division', 'currently professor', 'technology kit', 'cheng ha', 'student ha', 'director division innovative nuclear system kit ha supervised supervising phd student kit sjtu give lecture undergraduate master student ha published paper main field nuclear thermal hydraulics nuclear safety', 'teaching experience', 'ha supervised', 'master student', 'jiao tong', 'nuclear safety', 'division innovative', 'thermal hydraulics', 'hydraulics nuclear', 'main field', 'shanghai jiao', 'tong sjtu', 'innovative nuclear', 'prof cheng ha year experience year teaching experience currently professor karlsruhe institute technology kit germany shanghai jiao tong sjtu china', 'kit germany', 'system kit', 'karlsruhe institute', 'supervised supervising', 'paper main', 'field nuclear', 'nuclear thermal', 'nuclear system', 'give lecture', 'undergraduate master', 'experience year', 'kit ha', 'year teaching', 'supervising phd', 'lecture undergraduate', 'experience currently', 'germany shanghai', 'phd student', 'institute technology', 'year experience', 'professor karlsruhe'}"
29,"Cole, Casey","{'bioinformatics', 'computational biology'}"
30,"Coman, Paul","{'thermodynamics', 'liion safety'}"
31,"Crichigno, Jorge","{'science dmz', 'programmable switch', 'iot security'}"
32,"Cui, Taixing","{'road columbia', 'school medicine', 'garner ferry', 'ehime school', 'fourth military', 'molecular medicine', 'bldg room', 'room garner', 'r china', 'sc', 'japan', 'ehime school medicine', 'ferry road', 'fourth military medical', 'medicine bldg', 'school medicine bldg room garner ferry road columbia', 'military medical'}"
33,"De Backer, Wout","{'fused deposition', 'fused deposition modeling', 'printing', 'additive manufacturing', 'deposition modeling'}"
34,"Deng, Xiaomin ","{'process simulation', 'manufacturing process', 'molecular dynamic simulation', 'modeling simulation', 'solid mechanic', 'dynamic simulation', 'molecular dynamic', 'finite element', 'manufacturing process simulation'}"
35,"Devereux, Emily","{'development', 'foundation agency', 'institution signal', 'experience ha', 'senior administrator', 'reputation goal', 'federal foundation', 'signal competitiveness', 'year administration', 'sponsor based', 'senior administrator year administration community economic development', 'strategic planning', 'student growth', 'national ranking', 'perceived bias', 'goal identify', 'funding review', 'review enables', 'ha concentrated', 'competitiveness funding', 'funding sponsor', 'agent resource', 'contributes perceived', 'resource dependency', 'ranking perceived', 'administrator year', 'past year administration leadership experience ha concentrated strategic growth', 'concentrated strategic', 'enables institution', 'dependency theory', 'administration community', 'strategic growth', 'leadership experience', 'bias funding', 'administration leadership', 'review process', 'community economic', 'based principal', 'past year', 'bias federal', 'administration focused national ranking perceived bias funding review process based administrative capacity reputation goal identify contributes perceived bias federal foundation agency review enables institution signal competitiveness funding sponsor based principal agent resource dependency theory', 'focused national', 'process based', 'principal agent', 'agency review', 'administration focused', 'economic development', 'capacity reputation', 'based administrative', 'identify contributes', 'administrative capacity'}"
36,"Dillon, Anthony L","{'numerous business', 'worked within', 'suite', 'information technology', 'internship department', 'graduate program', 'sc dillon', 'undergraduate graduate', 'private public', 'technology brings', 'sc dillon director internship department integrated information technology clinical instructor undergraduate graduate program within iit mhit program ha worked within private public sector related educational technology brings numerous business partnership relationship', 'technology clinical', 'director internship', 'ha worked', 'public sector', 'instructor undergraduate', 'department integrated', 'dillon director', 'related educational', 'integrated information', 'program within', 'clinical instructor', 'within iit', 'mhit program', 'innovation assembly', 'within private', 'business partnership', 'assembly street', 'program ha', 'iit mhit', 'educational technology', 'brings numerous', 'partnership relationship', 'innovation assembly street', 'sector related'}"
