,researcher_name,skills
16,"Brookshire, Robert G., Ph.D.","{'performance journal', 'north texas', 'robert brookshire', 'journal past president organizational system association editor information technology', 'brookshire professor', 'assembly street', 'learning', 'legislative study quarterly', 'technology department', 'system association', 'european journal operational', 'science computer', 'columbia', 'itec record', 'record managementitec', 'european journal', 'sc robert brookshire professor integrated information technology department college engineering computing', 'past president', 'college engineering', 'innovation assembly', 'article appeared journal computer information system', 'master health', 'study quarterly', 'taught new', 'james madison co author using microcomputer sage publication', 'journal itec', 'mainframe systemsitec', 'journal operational', 'james madison', 'linux programming', 'integrated information', 'sc director', 'virginia', 'innovation assembly street', 'department college', 'president organizational', 'sc robert', 'byte', 'ha taught', 'social science', 'computer information', 'editor information', 'health information', 'texas state', 'using microcomputer', 'managementitec mainframe', 'madison co', 'organizational system', 'appeared journal', 'co author', 'information system', 'legislative study', 'systemsitec linux', 'performance journal itec record managementitec mainframe systemsitec linux programming administration', 'north texas state', 'journal computer', 'programming administration', 'social science computer review', 'computer review', 'technology program', 'professor integrated', 'journal past', 'new york', 'author using', 'suite', 'director master', 'sc director master health information technology program ha taught new york', 'microcomputer sage', 'sage publication', 'program ha', 'article appeared', 'engineering computing', 'association editor', 'information technology'}"
17,"Broughton, Earnie","{'responsibility gathering', 'best practice', 'development team', 'requirement consortium', 'supervises daily', 'addition writing', 'earnie lead', 'test bed', 'private industry', 'developing plan', 'ship system', 'design project', 'programming professional', 'lead software', 'stakeholder navy', 'student programming', 'requirement developing', 'bed vtb', 'activity development', 'software developer', 'private industry requirement developing plan integrating requirement consortium education', 'mentoring student', 'professional development', 'supervises daily activity development team project', 'developer virtual', 'practice responsibility', 'writing code', 'smart ship', 'project addition', 'vtb smart', 'virtual test', 'including mentoring', 'industry requirement', 'plan integrating', 'daily activity', 'integrating requirement', 'development best', 'consortium education', 'earnie lead software developer virtual test bed vtb smart ship system design project addition writing code', 'system design', 'gathering stakeholder', 'esrdc consortium', 'team project', 'including mentoring student programming professional development best practice responsibility gathering stakeholder navy'}"
18,"Buell, Duncan A.","{'auditing election', 'computing machine', 'computer architecture', 'ha part', 'cc directed', 'recent work', 'professor buell', 'done string', 'often multiprecision', 'renewal columbia', 'writing pedagogy', 'problem custom', 'state digital', 'accuracy ida', 'problem process', 'whose application', 'performing computation', 'co supervising work ward one app', 'one often need substantial parallelism', 'urban renewal', 'one class', 'role evicting', 'architecture oriented', 'total certified', 'integer arithmetic', 'devised bit', 'point computation', 'class problem', 'engaged analysis', 'ha electronic', 'neighborhood adjacent', 'bit bit', 'application programmed', 'compute element', 'one neighborhood', 'traditional computer', 'essay linguistic', 'critical interactive iphone urban renewal columbia sc role evicting resident ward one neighborhood adjacent', 'past included', 'vote total', 'image processing computation', 'computation normally', 'normally perform', 'linguistic characteristic', 'arithmetic often', 'interactive iphone', 'sufficient accuracy', 'discrete mathematics', 'problem computational', 'discovering problem', 'broad class', 'often sufficient', 'analysis first', 'team auditing', 'bit bit arithmetic often sufficient accuracy ida cc directed splash project building custom computing machine used xilinx fpgas compute element whose application programmed vhdl', 'evicting resident', 'building custom', 'processing computation', 'digital humanity', 'number theory', 'certified state', 'work ha', 'part team', 'theory fast', 'custom computing', 'columbia sc', 'election data', 'multiprecision arithmetic', 'necessary another', 'fast integer', 'discrete mathematics text string processing', 'first year', 'necessary another broad class problem custom computing machine devised bit oriented computation done string processing', 'need substantial', 'problem number', 'element whose', 'image processing', 'critical interactive', 'floating point', 'one app', 'buell past', 'co supervising', 'traditional computer architecture oriented toward floating point computation normally perform significantly reduced efficiency one class problem computational problem number theory fast integer arithmetic', 'project building', 'reduced efficiency', 'splash project', 'toward floating', 'bit oriented', 'voting system', 'ida cc', 'computational problem', 'architecture performing', 'system digital', 'absence data', 'machine used', 'sc role', 'another broad', 'english essay', 'one often', 'lead uncounted', 'characteristic improvement', 'data support', 'computation done', 'efficiency one', 'uncounted vote', 'iphone urban', 'improvement writing', 'xilinx fpgas', 'engaged analysis first year english essay linguistic characteristic improvement writing pedagogy professor buell past included algorithm architecture performing computation', 'pedagogy professor', 'algorithm architecture', 'data discovering', 'directed splash', 'often need', 'year english', 'resident ward', 'often multiprecision arithmetic', 'professor buell recent work ha electronic voting system digital humanity ha part team auditing election data discovering problem process lead uncounted vote absence data support vote total certified state digital humanity', 'text string', 'significantly reduced', 'programmed vhdl', 'included algorithm', 'mathematics text', 'used xilinx', 'electronic voting', 'fpgas compute', 'machine devised', 'vote absence', 'ward one', 'buell recent', 'process lead', 'oriented toward', 'substantial parallelism', 'supervising work', 'work ward', 'string processing', 'bit arithmetic', 'oriented computation', 'support vote', 'perform significantly', 'humanity ha'}"
19,"Caicedo, Juan","{'society civil', 'earthquake engineering structural control dr caicedo member american society civil engineer', 'earthquake engineering', 'member american', 'brown jr', 'american society', 'engineering simulation', 'area structural', 'dynamic numerical', 'infrastructure lab', 'structural health monitoring', 'caicedo member', 'network earthquake', 'lab website', 'engineering emphasis', 'visit structural', 'project publication', 'jr network', 'dr caicedo area specialization structural engineering emphasis structural dynamic numerical experimental area structural dynamic', 'engineering structural', 'experimental area', 'numerical experimental', 'publication visit', 'experimental mechanic', 'dr caicedo', 'control dr', 'structural engineering', 'earthquake engineering institute', 'engineering educator', 'complete list', 'list project', 'specialization structural', 'structural dynamic', 'intelligent infrastructure', 'civil engineer', 'structural control', 'society engineering', 'dynamic intelligent', 'engineering institute', 'area specialization', 'george brown', 'educator complete', 'health monitoring', 'mechanic american', 'model updating', 'george brown jr network earthquake engineering simulation', 'emphasis structural', 'society experimental', 'structural health', 'caicedo area', 'society experimental mechanic american society engineering educator complete list project publication visit structural dynamic intelligent infrastructure lab website'}"
20,"Carrilho, Leo ","{'process phenomenon', 'nuclear fuel', 'design pwr', 'dr leo carrilho modeling simulation process phenomenon structural thermal hydraulic design pwr nuclear fuel core component', 'pwr nuclear', 'using fea', 'carrilho modeling', 'leo carrilho', 'modeling simulation', 'cfd method', 'structural thermal', 'core component', 'phenomenon structural', 'using fea cfd method', 'fea cfd', 'simulation process', 'thermal hydraulic', 'dr leo', 'hydraulic design', 'fuel core'}"
21,"Carver, Wayne","{'cardiovascular performance', 'others cell', 'composed contractile', 'correlated heart', 'myocardial fibrosis', 'bldg room', 'seen alcohol', 'increased accumulation', 'cell others', 'myocardial infarction', 'heart produced', 'non muscle', 'particularly interested', 'fibroblast behavior', 'accumulation extracellular', 'organization extracellular', 'affect cardiovascular', 'commonly associated', 'focused understanding', 'matrix fibrosis', 'elaborate extracellular', 'road columbia', 'disease instance', 'produced largely', 'carver lab', 'animal model', 'garner ferry', 'wall heart', 'stiffer myocardium', 'cardiovascular disease', 'matrix heart', 'including fibroblast', 'matrix change', 'function extracellular', 'regulated heart', 'chronic exposure', 'school medicine bldg room garner ferry road columbia', 'cardiac fibroblast', 'alcohol seen', 'alters heart function extracellular matrix heart produced largely cardiac fibroblast dr carver lab focused understanding fibroblast behavior gene expression regulated heart particularly interested chronic exposure alcohol seen alcohol abuse result myocardial fibrosis cell culture animal model used examine regulation fibroblast cardiovascular disease', 'result myocardial', 'fibrosis cell', 'excessive accumulation', 'endothelial cell others cell interconnected supported elaborate extracellular matrix change density organization extracellular matrix known affect cardiovascular performance correlated heart disease instance', 'understanding fibroblast', 'known affect', 'performance correlated', 'exposure alcohol', 'extracellular matrix', 'ventricular wall', 'cell type', 'culture animal', 'supported elaborate', 'used examine', 'hypertension myocardial', 'cell culture', 'medicine bldg', 'cell non', 'alters heart', 'fibrosis commonly', 'fibroblast cardiovascular', 'behavior gene', 'gene expression', 'largely cardiac', 'regulation fibroblast', 'heart particularly', 'room garner', 'model used', 'ferry road', 'school medicine', 'alcohol abuse', 'infarction increased', 'sc ventricular wall heart composed contractile muscle cell non muscle cell type including fibroblast', 'heart composed', 'change density', 'associated hypertension', 'type including', 'result stiffer', 'density organization', 'fibroblast dr', 'muscle cell', 'abuse result', 'contractile muscle', 'lab focused', 'interested chronic', 'heart function', 'dr carver', 'sc ventricular', 'seen fibrosis', 'expression regulated', 'interconnected supported', 'examine regulation', 'matrix known', 'cell interconnected', 'fibrosis result', 'matrix seen', 'excessive accumulation extracellular matrix fibrosis commonly associated hypertension myocardial infarction increased accumulation extracellular matrix seen fibrosis result stiffer myocardium', 'heart disease', 'endothelial cell'}"
22,"Chandrashekhar, MVS","{'chemistry', 'graphene', 'sic', 'plasmonics', 'epitaxy'}"
23,"Chao, Yuh J. ","{'yinbiao niffenegger', 'shell axial', 'perfect cylindrical', 'solid structure', 'welding modeling residual stress distortion', 'biomechanics nanomechanics', 'chao theoretical', 'stress distortion', 'fatigue material', 'system cao', 'asme journal', 'journal solid', 'yuh', 'asme journal pressure vessel technology', 'fracture fatigue', 'assessment specimen', 'experimental numerical', 'theoretical experimental', 'durability pem fuel cell system cao', 'tested uniaxial', 'fuel cell', 'international journal solid structure', 'specimen tested', 'markus chao', 'cell system', 'study failure', 'yupeng qian', 'chao yuh', 'durability pem', 'mechanic material', 'loading condition', 'experimental study', 'biaxial loading', 'vol', 'failure criterion', 'buckling quasi perfect cylindrical shell axial compression combined experimental numerical investigation', 'june wang', 'combined experimental', 'pem fuel', 'buckling quasi', 'uniaxial biaxial', 'international journal', 'impact mechanic', 'wang bo', 'fracture fatigue material structure', 'chen bingquan', 'journal pressure', 'material structure', 'numerical investigation', 'vessel technology', 'xiangtao', 'compression combined', 'material characterization', 'june wang bo', 'constraint assessment', 'zhu shiyang', 'dr chao', 'modeling residual', 'characterization failure', 'quasi perfect', 'dukaifan', 'bi xiangju', 'welding modeling', 'pressure vessel', 'axial compression', 'guian', 'impact mechanic material characterization failure criterion', 'residual stress', 'hao peng', 'cylindrical shell', 'constraint assessment specimen tested uniaxial biaxial loading condition', 'dr chao theoretical experimental study failure'}"
24,"Chaudhry, Hanif","{'hydraulic engineering', 'water resource engineering', 'hydraulic transient', 'resource engineering', 'water resource'}"
25,"Chen, Fanglin (Frank)","{'conducting ceramic', 'chen synthesis', 'oxide fuel', 'energy conversion', 'composition', 'structure property relationship', 'conversion storage', 'separation membrane', 'ionic electronic', 'property relationship', 'electrolysis cell', 'fuel cell', 'dr chen synthesis characterization material energy conversion storage', 'synthesis characterization', 'gas separation membrane', 'ionic electronic conducting ceramic', 'gas separation', 'solid oxide fuel cell', 'characterization material', 'dr chen', 'solid oxide', 'oxide electrolysis', 'structure property', 'solid oxide electrolysis cell', 'catalysis electrocatalysis', 'material energy', 'electronic conducting'}"
26,"Chen, Yinchao","{'sc', 'main streetcolumbia', 'swearingenroom main', 'swearingenroom main streetcolumbia'}"
27,"Chen, Yuche","{'data sensing analytics', 'data sensing', 'emerging technology', 'aiaugmented simulation', 'sensing analytics'}"
28,"Cheng, Xu","{'paper main', 'kit germany', 'published paper', 'cheng ha', 'master student', 'nuclear system', 'hydraulics nuclear', 'innovative nuclear', 'give lecture', 'ha year', 'kit sjtu', 'sjtu china', 'phd student', 'nuclear safety', 'prof cheng ha year experience year teaching experience currently professor karlsruhe institute technology kit germany shanghai jiao tong sjtu china', 'ha supervised', 'teaching experience', 'undergraduate master', 'director division innovative nuclear system kit ha supervised supervising phd student kit sjtu give lecture undergraduate master student ha published paper main field nuclear thermal hydraulics nuclear safety', 'germany shanghai', 'lecture undergraduate', 'karlsruhe institute', 'thermal hydraulics', 'technology kit', 'field nuclear', 'kit ha', 'tong sjtu', 'experience year', 'student kit', 'supervised supervising', 'experience currently', 'shanghai jiao', 'year teaching', 'year experience', 'student ha', 'professor karlsruhe', 'director division', 'currently professor', 'sjtu give', 'institute technology', 'system kit', 'division innovative', 'supervising phd', 'main field', 'prof cheng', 'ha published', 'jiao tong', 'nuclear thermal'}"
29,"Cole, Casey","{'computational biology', 'bioinformatics'}"
30,"Coman, Paul","{'thermodynamics', 'liion safety'}"
31,"Crichigno, Jorge","{'iot security', 'programmable switch', 'science dmz'}"
32,"Cui, Taixing","{'japan', 'bldg room', 'ehime school', 'room garner', 'fourth military', 'sc', 'r china', 'military medical', 'fourth military medical', 'school medicine bldg room garner ferry road columbia', 'molecular medicine', 'garner ferry', 'ferry road', 'road columbia', 'medicine bldg', 'ehime school medicine', 'school medicine'}"
33,"De Backer, Wout","{'fused deposition modeling', 'additive manufacturing', 'deposition modeling', 'fused deposition', 'printing'}"
34,"Deng, Xiaomin ","{'molecular dynamic', 'modeling simulation', 'finite element', 'manufacturing process', 'molecular dynamic simulation', 'process simulation', 'manufacturing process simulation', 'solid mechanic', 'dynamic simulation'}"
35,"Devereux, Emily","{'administration leadership', 'capacity reputation', 'administrative capacity', 'resource dependency', 'leadership experience', 'ranking perceived', 'bias federal', 'goal identify', 'review enables', 'funding sponsor', 'ha concentrated', 'contributes perceived', 'development', 'economic development', 'administration focused national ranking perceived bias funding review process based administrative capacity reputation goal identify contributes perceived bias federal foundation agency review enables institution signal competitiveness funding sponsor based principal agent resource dependency theory', 'experience ha', 'strategic growth', 'concentrated strategic', 'identify contributes', 'principal agent', 'administration focused', 'federal foundation', 'past year', 'focused national', 'enables institution', 'sponsor based', 'year administration', 'institution signal', 'past year administration leadership experience ha concentrated strategic growth', 'student growth', 'dependency theory', 'bias funding', 'competitiveness funding', 'strategic planning', 'based administrative', 'funding review', 'agent resource', 'signal competitiveness', 'administration community', 'reputation goal', 'national ranking', 'agency review', 'administrator year', 'perceived bias', 'review process', 'community economic', 'process based', 'senior administrator', 'based principal', 'foundation agency', 'senior administrator year administration community economic development'}"
36,"Dillon, Anthony L","{'within private', 'sc dillon director internship department integrated information technology clinical instructor undergraduate graduate program within iit mhit program ha worked within private public sector related educational technology brings numerous business partnership relationship', 'partnership relationship', 'internship department', 'assembly street', 'dillon director', 'private public', 'related educational', 'sector related', 'undergraduate graduate', 'public sector', 'numerous business', 'technology clinical', 'innovation assembly', 'worked within', 'instructor undergraduate', 'sc dillon', 'integrated information', 'innovation assembly street', 'department integrated', 'iit mhit', 'brings numerous', 'technology brings', 'within iit', 'program within', 'director internship', 'ha worked', 'suite', 'mhit program', 'business partnership', 'program ha', 'clinical instructor', 'educational technology', 'graduate program', 'information technology'}"
